Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
5000.0,2012-07-02,major_purchase,0.0,0%,080xx,NJ,< 1 year,0.0
4000.0,2012-07-13,car,656.0,1.03%,941xx,CA,< 1 year,0.0
12000.0,2012-07-13,debt_consolidation,674.0,26.33%,781xx,TX,< 1 year,0.0
35000.0,2012-07-20,small_business,507.0,9.42%,282xx,NC,< 1 year,0.0
10000.0,2012-07-26,Major Purchase,727.0,2.08%,220xx,VA,2 years,0.0
11000.0,2012-08-09,debt_consolidation,719.0,14.98%,303xx,GA,< 1 year,0.0
7000.0,2012-08-20,car,682.0,18%,300xx,GA,< 1 year,0.0
5000.0,2012-08-28,debt_consolidation,466.0,22.62%,113xx,NY,< 1 year,0.0
15000.0,2012-08-31,major_purchase,650.0,60.62%,640xx,MO,< 1 year,0.0
2000.0,2012-09-10,credit_card,685.0,42.81%,027xx,MA,< 1 year,0.0
9975.0,2012-09-13,Get back on my feet,731.0,5.39%,068xx,CT,< 1 year,0.0
9000.0,2012-09-16,debt_consolidation,660.0,19.02%,930xx,CA,10+ years,0.0
10000.0,2012-09-17,debt_consolidation,592.0,23.46%,362xx,AL,< 1 year,0.0
10000.0,2012-09-21,major_purchase,656.0,2.73%,105xx,NY,< 1 year,0.0
5000.0,2012-10-05,debt_consolidation,643.0,21.9%,273xx,NC,< 1 year,0.0
20000.0,2012-10-05,Credit Debt Consolidation,680.0,15.44%,234xx,VA,,0.0
5000.0,2012-10-05,medical,513.0,24.18%,071xx,NJ,< 1 year,0.0
3500.0,2012-10-08,major_purchase,657.0,21.54%,660xx,KS,< 1 year,0.0
35000.0,2012-10-09,small_business,696.0,23.94%,483xx,MI,< 1 year,0.0
30000.0,2012-10-15,credit_card,717.0,63.3%,599xx,MT,< 1 year,0.0
3500.0,2012-10-18,debt_consolidation,687.0,24%,758xx,TX,< 1 year,0.0
10000.0,2012-10-22,credit_card,658.0,14.47%,955xx,CA,< 1 year,0.0
12000.0,2012-10-23,debt_consolidation,615.0,32.75%,283xx,NC,< 1 year,0.0
30000.0,2012-10-31,debt_consolidation,677.0,26.94%,367xx,AL,< 1 year,0.0
1000.0,2012-11-02,other,,-1%,146xx,NY,< 1 year,0.0
4500.0,2012-11-04,other,481.0,35.27%,415xx,KY,< 1 year,0.0
3500.0,2012-11-05,major_purchase,455.0,1.11%,551xx,MN,< 1 year,0.0
20000.0,2012-11-08,debt_consolidation,604.0,30.8%,902xx,CA,< 1 year,0.0
5300.0,2012-11-14,other,634.0,16.29%,112xx,NY,2 years,0.0
8000.0,2012-11-16,medical,629.0,8.23%,968xx,HI,< 1 year,0.0
3500.0,2012-11-17,major_purchase,649.0,100.73%,339xx,FL,< 1 year,0.0
1100.0,2012-11-27,other,663.0,39.1%,785xx,TX,< 1 year,0.0
1000.0,2012-11-29,car,509.0,13.55%,902xx,CA,< 1 year,0.0
16000.0,2012-12-04,credit_card,621.0,13.18%,085xx,NJ,< 1 year,0.0
10000.0,2012-12-05,moving,540.0,6.91%,600xx,IL,< 1 year,0.0
5000.0,2012-12-15,debt_consolidation,513.0,22.6%,338xx,FL,< 1 year,0.0
20000.0,2012-12-18,debt_consolidation,690.0,43.23%,319xx,GA,< 1 year,0.0
3100.0,2012-12-27,Medical expenses,690.0,17.2%,902xx,CA,,0.0
18000.0,2016-04-01,debt_consolidation,,6.56%,112xx,NY,< 1 year,0.0
5000.0,2016-04-01,debt_consolidation,,45.11%,853xx,AZ,< 1 year,0.0
5000.0,2016-04-02,debt_consolidation,,0.84%,606xx,IL,< 1 year,0.0
15000.0,2016-04-02,credit_card,,16.74%,327xx,FL,5 years,0.0
8000.0,2016-04-03,other,,4.97%,370xx,TN,5 years,0.0
2500.0,2016-04-04,other,651.0,3.76%,762xx,TX,< 1 year,0.0
10000.0,2016-04-04,debt_consolidation,,33.11%,703xx,LA,< 1 year,0.0
5000.0,2016-04-05,other,,3.77%,234xx,VA,< 1 year,0.0
5000.0,2016-04-05,debt_consolidation,,9.48%,890xx,NV,< 1 year,0.0
25000.0,2016-04-05,debt_consolidation,674.0,47.6%,981xx,WA,< 1 year,0.0
10000.0,2016-04-05,debt_consolidation,,11%,894xx,NV,< 1 year,0.0
10000.0,2016-04-05,Business Loan,,-1%,110xx,NY,< 1 year,0.0
5000.0,2016-04-06,debt_consolidation,,2.9%,240xx,VA,< 1 year,0.0
2800.0,2016-04-06,medical,,13.26%,912xx,CA,< 1 year,0.0
4000.0,2016-04-06,other,,1.76%,756xx,TX,< 1 year,0.0
12000.0,2016-04-06,credit_card,,-1%,300xx,GA,< 1 year,0.0
30000.0,2016-04-07,debt_consolidation,,17%,010xx,MA,< 1 year,0.0
18000.0,2016-04-07,car,666.0,27.52%,019xx,MA,< 1 year,0.0
15000.0,2016-04-07,debt_consolidation,,52.96%,751xx,TX,< 1 year,0.0
6000.0,2016-04-08,home_improvement,,28.19%,142xx,NY,5 years,0.0
10000.0,2016-04-08,medical,647.0,12.07%,337xx,FL,< 1 year,0.0
30000.0,2016-04-08,debt_consolidation,,36.27%,731xx,OK,< 1 year,0.0
10000.0,2016-04-08,credit_card,621.0,35%,446xx,OH,< 1 year,0.0
40000.0,2016-04-09,home_improvement,,9999%,970xx,OR,< 1 year,0.0
6000.0,2016-04-09,credit_card,,8.69%,082xx,NJ,5 years,0.0
5000.0,2016-04-10,Debt consolidation,,8.23%,622xx,IL,10+ years,2.0
5000.0,2016-04-11,moving,,3.78%,114xx,NY,5 years,0.0
2800.0,2016-04-11,major_purchase,,5.47%,427xx,KY,< 1 year,0.0
20000.0,2016-04-11,debt_consolidation,605.0,30.66%,300xx,GA,< 1 year,0.0
15000.0,2016-04-11,debt_consolidation,,11.14%,967xx,HI,< 1 year,0.0
18000.0,2016-04-11,debt_consolidation,643.0,25.27%,623xx,IL,< 1 year,0.0
20000.0,2016-04-12,debt_consolidation,,1.28%,891xx,NV,< 1 year,0.0
20000.0,2016-04-12,medical,,9999%,802xx,CO,< 1 year,0.0
14000.0,2016-04-12,other,,38.47%,377xx,TN,< 1 year,0.0
15000.0,2016-04-12,debt_consolidation,666.0,863.41%,014xx,MA,< 1 year,0.0
5000.0,2016-04-12,debt_consolidation,,9999%,900xx,CA,< 1 year,0.0
2500.0,2016-04-13,home_improvement,,20.71%,398xx,GA,< 1 year,0.0
5000.0,2016-04-13,car,,-1%,172xx,PA,5 years,0.0
10000.0,2016-04-13,medical,,30.97%,426xx,KY,,0.0
1500.0,2016-04-14,debt_consolidation,701.0,11.35%,973xx,OR,< 1 year,0.0
3500.0,2016-04-14,credit_card,,23.23%,381xx,TN,< 1 year,0.0
10000.0,2016-04-15,moving,713.0,18.5%,181xx,PA,< 1 year,0.0
20000.0,2016-04-15,debt_consolidation,620.0,60.3%,227xx,VA,< 1 year,0.0
7000.0,2016-04-16,debt_consolidation,,4.5%,766xx,TX,< 1 year,0.0
6000.0,2016-04-16,credit_card,,16.17%,193xx,PA,5 years,0.0
2500.0,2016-04-16,debt_consolidation,,1592.05%,323xx,FL,< 1 year,0.0
25000.0,2016-04-18,debt_consolidation,,15.12%,853xx,AZ,< 1 year,0.0
40000.0,2016-04-18,debt_consolidation,746.0,22.23%,403xx,KY,< 1 year,0.0
30000.0,2016-04-18,other,,38.17%,906xx,CA,< 1 year,0.0
2000.0,2016-04-19,home_improvement,,21.33%,282xx,NC,< 1 year,0.0
25000.0,2016-04-19,debt_consolidation,,34.71%,761xx,TX,< 1 year,0.0
15000.0,2016-04-19,debt_consolidation,,37.28%,850xx,AZ,< 1 year,0.0
2500.0,2016-04-19,other,,15.19%,765xx,TX,< 1 year,0.0
1000.0,2016-04-19,medical,,34.55%,800xx,CO,< 1 year,0.0
10000.0,2016-04-20,major_purchase,,16.92%,922xx,CA,5 years,0.0
4000.0,2016-04-21,debt_consolidation,,67.79%,038xx,NH,< 1 year,0.0
1000.0,2016-04-21,major_purchase,,1.17%,601xx,IL,< 1 year,0.0
1200.0,2016-04-21,home_improvement,,11%,296xx,SC,5 years,0.0
5000.0,2016-04-21,other,,6.72%,199xx,DE,< 1 year,0.0
30000.0,2016-04-21,debt_consolidation,,100%,018xx,MA,< 1 year,0.0
6000.0,2016-04-22,debt_consolidation,,25.74%,553xx,MN,< 1 year,0.0
10000.0,2016-04-22,debt_consolidation,,13.35%,795xx,TX,< 1 year,0.0
10000.0,2016-04-23,car,,2.16%,641xx,MO,< 1 year,0.0
20000.0,2016-04-23,debt_consolidation,,11.28%,400xx,KY,< 1 year,0.0
8000.0,2016-04-23,other,,22.35%,327xx,FL,< 1 year,0.0
5000.0,2016-04-23,debt_consolidation,,19.99%,206xx,MD,< 1 year,0.0
6500.0,2016-04-24,credit_card,,33.54%,365xx,AL,< 1 year,0.0
2000.0,2016-04-25,debt_consolidation,,5.27%,173xx,PA,5 years,0.0
1000.0,2016-04-25,other,,0%,945xx,CA,< 1 year,0.0
18000.0,2016-04-25,debt_consolidation,615.0,47.3%,331xx,FL,< 1 year,0.0
30000.0,2016-04-26,debt_consolidation,,16.87%,604xx,IL,< 1 year,0.0
20000.0,2016-04-26,debt_consolidation,,33.79%,351xx,AL,5 years,0.0
15000.0,2016-04-27,other,,1.31%,544xx,WI,< 1 year,0.0
10000.0,2016-04-27,debt_consolidation,,51.44%,770xx,TX,< 1 year,0.0
150000.0,2016-04-27,Business Loan,,-1%,587xx,ND,< 1 year,0.0
5000.0,2016-04-27,home_improvement,738.0,23.9%,295xx,SC,,0.0
5000.0,2016-04-27,Business,,2.06%,273xx,NC,< 1 year,0.0
2500.0,2016-04-28,home_improvement,,29.37%,151xx,PA,5 years,0.0
5000.0,2016-04-28,credit_card,774.0,7.5%,705xx,LA,2 years,0.0
2000.0,2016-04-28,debt_consolidation,,41.18%,571xx,SD,< 1 year,0.0
9000.0,2016-04-28,home_improvement,,26.58%,481xx,MI,< 1 year,0.0
15000.0,2016-04-28,debt_consolidation,,0.09%,049xx,ME,< 1 year,0.0
18000.0,2016-04-28,debt_consolidation,667.0,26.57%,774xx,TX,< 1 year,0.0
12000.0,2016-04-29,debt_consolidation,,1.52%,986xx,WA,< 1 year,0.0
20000.0,2016-04-29,Credit card refinancing,630.0,7.8%,281xx,NC,10+ years,0.0
3000.0,2016-05-01,other,,0%,678xx,KS,< 1 year,0.0
10000.0,2016-05-02,debt_consolidation,,3.46%,432xx,OH,< 1 year,0.0
5000.0,2016-05-02,debt_consolidation,627.0,67.52%,295xx,SC,< 1 year,0.0
18000.0,2016-05-03,debt_consolidation,,339.34%,287xx,NC,< 1 year,0.0
30000.0,2016-05-03,credit_card,,30.06%,212xx,MD,< 1 year,0.0
5000.0,2016-05-03,other,,76.45%,191xx,PA,< 1 year,0.0
2500.0,2016-05-03,other,,12.7%,809xx,CO,< 1 year,0.0
40000.0,2016-05-04,home_improvement,,9.17%,734xx,OK,< 1 year,0.0
15000.0,2016-05-04,vacation,,12.75%,338xx,FL,< 1 year,0.0
35000.0,2016-05-04,debt_consolidation,,20.45%,356xx,AL,< 1 year,0.0
40000.0,2016-05-04,debt_consolidation,,36.37%,405xx,KY,< 1 year,0.0
1500.0,2016-05-05,home_improvement,,101.2%,290xx,SC,< 1 year,0.0
5000.0,2016-05-05,other,,29%,302xx,GA,5 years,0.0
7000.0,2016-05-05,credit_card,,22.9%,010xx,MA,< 1 year,0.0
15000.0,2016-05-05,debt_consolidation,635.0,25.55%,199xx,DE,< 1 year,0.0
5000.0,2016-05-06,debt_consolidation,,36.61%,783xx,TX,< 1 year,0.0
5500.0,2016-05-06,Debt consolidation,,11.57%,850xx,AZ,10+ years,0.0
35000.0,2016-05-06,debt_consolidation,,44.15%,476xx,IN,5 years,0.0
9000.0,2016-05-07,Credit card refinancing,,16.68%,349xx,FL,,0.0
7500.0,2016-05-09,credit_card,,34.24%,077xx,NJ,< 1 year,0.0
10500.0,2016-05-09,credit_card,,8.97%,379xx,TN,5 years,0.0
3600.0,2016-05-10,debt_consolidation,,25.78%,741xx,OK,< 1 year,0.0
5000.0,2016-05-11,debt_consolidation,,17.29%,460xx,IN,5 years,0.0
6000.0,2016-05-11,debt_consolidation,,21.34%,384xx,TN,< 1 year,0.0
40000.0,2016-05-12,credit_card,,22.32%,840xx,UT,< 1 year,0.0
1000.0,2016-05-13,other,,427.11%,333xx,FL,< 1 year,0.0
1000.0,2016-05-14,vacation,,25.03%,216xx,MD,5 years,0.0
3500.0,2016-05-14,credit_card,,8.85%,296xx,SC,< 1 year,0.0
10000.0,2016-05-14,home_improvement,,130.85%,103xx,NY,< 1 year,0.0
5000.0,2016-05-15,other,,5.36%,334xx,FL,< 1 year,0.0
2000.0,2016-05-15,debt_consolidation,,1.64%,060xx,CT,< 1 year,0.0
3000.0,2016-05-15,credit_card,,6.23%,300xx,GA,5 years,0.0
16800.0,2016-05-16,credit_card,,24.96%,175xx,PA,5 years,0.0
40000.0,2016-05-16,house,,0.51%,184xx,PA,< 1 year,0.0
9000.0,2016-05-17,home_improvement,,312.63%,334xx,FL,< 1 year,0.0
5000.0,2016-05-17,other,,26.44%,606xx,IL,< 1 year,0.0
20000.0,2016-05-17,home_improvement,,7.97%,360xx,AL,< 1 year,0.0
20000.0,2016-05-18,Debt consolidation,,19.38%,912xx,CA,8 years,0.0
5000.0,2016-05-19,other,,29.39%,925xx,CA,< 1 year,0.0
25000.0,2016-05-20,debt_consolidation,,17%,890xx,UT,< 1 year,0.0
1000.0,2016-05-20,other,,-1%,972xx,OR,< 1 year,0.0
18000.0,2016-05-22,debt_consolidation,,24.49%,080xx,NJ,< 1 year,0.0
10000.0,2016-05-25,home_improvement,,-1%,940xx,CA,< 1 year,0.0
10000.0,2016-05-26,debt_consolidation,,74.43%,820xx,WY,< 1 year,0.0
10000.0,2016-05-26,credit_card,,3.43%,117xx,NY,< 1 year,0.0
10000.0,2016-05-26,debt_consolidation,,35.73%,352xx,AL,< 1 year,0.0
7600.0,2016-05-30,Credit card refinancing,,9.46%,347xx,FL,1 year,2.0
20000.0,2016-05-31,credit_card,,92.04%,176xx,PA,< 1 year,0.0
35000.0,2016-06-01,credit_card,647.0,34.76%,906xx,CA,< 1 year,0.0
1500.0,2016-06-01,moving,,6.8%,303xx,GA,< 1 year,0.0
20000.0,2016-06-02,debt_consolidation,,9.25%,142xx,NY,< 1 year,0.0
15000.0,2016-06-02,house,,8.31%,967xx,HI,< 1 year,0.0
30000.0,2016-06-03,Business Loan,,-1%,221xx,VA,< 1 year,0.0
7000.0,2016-06-04,credit_card,,16.01%,604xx,IL,< 1 year,0.0
2500.0,2016-06-05,debt_consolidation,,10.65%,906xx,CA,< 1 year,0.0
15000.0,2016-06-06,Business Loan,,-1%,339xx,FL,< 1 year,0.0
1000.0,2016-06-07,vacation,,19.78%,330xx,FL,< 1 year,0.0
7000.0,2016-06-07,debt_consolidation,,77.84%,982xx,WA,< 1 year,0.0
7000.0,2016-06-08,small_business,,11.95%,763xx,TX,< 1 year,0.0
20000.0,2016-06-08,Business Loan,,-1%,535xx,WI,< 1 year,0.0
1000.0,2016-06-09,moving,,5.41%,359xx,AL,< 1 year,0.0
12000.0,2016-06-09,other,,37.05%,900xx,CA,5 years,0.0
5000.0,2016-06-09,debt_consolidation,,12.94%,331xx,FL,< 1 year,0.0
6000.0,2016-06-09,debt_consolidation,,49.53%,117xx,NY,< 1 year,0.0
5000.0,2016-06-10,vacation,,44.97%,860xx,AZ,,0.0
2500.0,2016-06-10,other,,2.96%,900xx,CA,< 1 year,0.0
20000.0,2016-06-10,other,,4.52%,330xx,FL,< 1 year,0.0
8000.0,2016-06-13,debt_consolidation,,29.17%,104xx,NY,< 1 year,0.0
1000.0,2016-06-13,other,573.0,2.2%,321xx,FL,< 1 year,0.0
4000.0,2016-06-14,other,,13.35%,775xx,TX,5 years,0.0
1000.0,2016-06-14,Debt consolidation,,34.4%,773xx,TX,< 1 year,0.0
5000.0,2016-06-15,other,,12.67%,900xx,CA,5 years,0.0
8500.0,2016-06-15,debt_consolidation,,0.03%,207xx,MD,5 years,0.0
1500.0,2016-06-15,other,,35.34%,907xx,CA,5 years,0.0
2500.0,2016-06-15,debt_consolidation,,72.29%,783xx,TX,< 1 year,0.0
2000.0,2016-06-15,debt_consolidation,,7.38%,191xx,PA,< 1 year,0.0
1000.0,2016-06-16,debt_consolidation,,46.22%,330xx,FL,5 years,0.0
10000.0,2016-06-16,debt_consolidation,627.0,30.07%,721xx,AR,< 1 year,0.0
2000.0,2016-06-17,debt_consolidation,,0%,212xx,MD,< 1 year,0.0
7500.0,2016-06-17,credit_card,,17.13%,333xx,FL,< 1 year,0.0
25000.0,2016-06-20,debt_consolidation,,24.74%,494xx,MI,< 1 year,0.0
10000.0,2016-06-20,other,,38.64%,922xx,CA,< 1 year,0.0
3000.0,2016-06-20,other,,39.14%,948xx,CA,< 1 year,0.0
35000.0,2016-06-21,credit_card,,19.45%,328xx,FL,< 1 year,0.0
30000.0,2016-06-21,debt_consolidation,,53.79%,244xx,VA,< 1 year,0.0
18000.0,2016-06-21,debt_consolidation,,28.23%,480xx,MI,< 1 year,0.0
10000.0,2016-06-21,debt_consolidation,,36.03%,385xx,TN,< 1 year,0.0
10000.0,2016-06-21,debt_consolidation,,3%,365xx,AL,< 1 year,0.0
20000.0,2016-06-22,credit_card,,16.73%,631xx,MO,< 1 year,0.0
2600.0,2016-06-23,credit_card,,3.14%,935xx,CA,,0.0
3500.0,2016-06-23,vacation,,4.33%,370xx,TN,,0.0
2000.0,2016-06-23,other,,27.22%,221xx,VA,5 years,0.0
12000.0,2016-06-23,debt_consolidation,,25.86%,440xx,OH,< 1 year,0.0
12000.0,2016-06-24,major_purchase,,16.6%,191xx,PA,< 1 year,0.0
5000.0,2016-06-24,credit_card,,16.84%,036xx,NH,5 years,0.0
6500.0,2016-06-26,credit_card,,17.19%,440xx,OH,5 years,0.0
15000.0,2016-06-27,debt_consolidation,,43.31%,435xx,OH,< 1 year,0.0
5000.0,2016-06-27,debt_consolidation,,39.53%,296xx,SC,< 1 year,0.0
1500.0,2016-06-27,debt_consolidation,,50.4%,980xx,WA,5 years,0.0
10000.0,2016-06-27,debt_consolidation,,13.88%,467xx,IN,< 1 year,0.0
10000.0,2016-06-27,other,,9.2%,440xx,OH,5 years,0.0
8000.0,2016-06-27,debt_consolidation,,18.94%,088xx,NJ,,0.0
10000.0,2016-06-27,credit_card,,28.61%,212xx,MD,5 years,0.0
5000.0,2016-06-28,debt_consolidation,,9.15%,921xx,CA,5 years,0.0
35000.0,2016-06-28,debt_consolidation,,69.9%,796xx,TX,< 1 year,0.0
2000.0,2016-06-28,vacation,,10.14%,190xx,PA,5 years,0.0
5000.0,2016-06-28,debt_consolidation,,0%,481xx,MI,< 1 year,0.0
40000.0,2016-06-28,other,,88.49%,806xx,CO,< 1 year,0.0
35000.0,2016-06-29,debt_consolidation,,18.14%,720xx,AR,< 1 year,0.0
2500.0,2016-06-29,other,,53.13%,945xx,CA,< 1 year,0.0
30000.0,2016-06-29,other,,6.25%,113xx,NY,< 1 year,0.0
4000.0,2016-06-29,other,,41.84%,640xx,MO,< 1 year,0.0
10000.0,2016-06-29,credit_card,,39.99%,342xx,FL,5 years,0.0
9000.0,2016-06-30,Debt consolidation,,19.74%,971xx,OR,< 1 year,0.0
10000.0,2016-06-30,debt_consolidation,,38.25%,871xx,NM,< 1 year,0.0
4000.0,2016-06-30,car,699.0,29.49%,350xx,AL,,0.0
15000.0,2016-06-30,medical,,36.6%,330xx,FL,< 1 year,0.0
8000.0,2016-07-01,major_purchase,,21.42%,721xx,AR,< 1 year,0.0
3000.0,2016-07-02,other,,33%,493xx,MI,< 1 year,0.0
8500.0,2016-07-02,debt_consolidation,,12%,489xx,MI,< 1 year,0.0
1000.0,2016-07-03,moving,746.0,0%,921xx,CA,< 1 year,0.0
20000.0,2016-07-05,debt_consolidation,680.0,34.6%,330xx,FL,< 1 year,0.0
20000.0,2016-07-05,Other,,9.78%,606xx,IL,,0.0
15000.0,2016-07-05,home_improvement,,22.11%,140xx,NY,< 1 year,0.0
40000.0,2016-07-05,debt_consolidation,,34.46%,432xx,OH,< 1 year,0.0
10000.0,2016-07-05,credit_card,,35.93%,741xx,OK,< 1 year,0.0
