Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
10000.0,2010-12-01,debt_consolidation,597.0,1.47%,940xx,CA,< 1 year,0.0
25000.0,2010-12-07,debt_consolidation,749.0,29.4%,064xx,CT,< 1 year,0.0
5000.0,2010-12-09,home_improvement,615.0,1.88%,330xx,FL,< 1 year,0.0
15000.0,2010-12-10,debt_consolidation,653.0,14.68%,945xx,CA,< 1 year,0.0
3500.0,2010-12-11,moving,0.0,0%,540xx,WI,< 1 year,0.0
15000.0,2010-12-15,debt_consolidation,725.0,17.61%,170xx,PA,< 1 year,0.0
22000.0,2010-12-20,car,667.0,1.95%,069xx,CT,< 1 year,0.0
3000.0,2010-12-20,other,695.0,27.32%,019xx,MA,5 years,0.0
2000.0,2010-12-29,debt_consolidation,518.0,11.28%,701xx,LA,< 1 year,0.0
17500.0,2011-01-02,other,692.0,8.86%,750xx,TX,4 years,0.0
8000.0,2011-01-05,other,631.0,12.81%,770xx,TX,6 years,0.0
9000.0,2011-01-08,car,648.0,12.48%,603xx,IL,< 1 year,0.0
4000.0,2011-01-25,moving,618.0,5.76%,303xx,GA,< 1 year,0.0
5800.0,2011-01-28,major_purchase,645.0,2.84%,928xx,CA,3 years,0.0
4200.0,2011-02-01,vacation,518.0,17.6%,244xx,VA,< 1 year,0.0
25000.0,2011-02-02,home_improvement,739.0,8.08%,077xx,NJ,< 1 year,0.0
10000.0,2011-02-02,major_purchase,715.0,51.79%,231xx,VA,< 1 year,0.0
8000.0,2011-02-13,home_improvement,689.0,20.88%,195xx,PA,< 1 year,0.0
1500.0,2011-02-15,other,565.0,14.52%,945xx,CA,< 1 year,0.0
6000.0,2011-02-17,major_purchase,615.0,32.7%,781xx,TX,< 1 year,0.0
1500.0,2011-02-20,other,566.0,17.14%,757xx,TX,1 year,0.0
11000.0,2011-02-22,debt_consolidation,503.0,19.23%,364xx,AL,< 1 year,0.0
15000.0,2011-02-22,small_business,551.0,2.01%,359xx,AL,< 1 year,0.0
1500.0,2011-02-27,other,553.0,2.24%,275xx,NC,6 years,0.0
4500.0,2011-03-04,debt_consolidation,694.0,23.65%,170xx,PA,< 1 year,0.0
5000.0,2011-03-06,wedding,536.0,5.12%,483xx,MI,< 1 year,0.0
1000.0,2011-03-07,debt_consolidation,492.0,15.47%,325xx,FL,< 1 year,0.0
8000.0,2011-03-08,other,677.0,102.2%,785xx,TX,2 years,0.0
1500.0,2011-03-12,other,566.0,0%,750xx,TX,< 1 year,0.0
10000.0,2011-03-15,small_business,553.0,6.31%,547xx,WI,< 1 year,0.0
7500.0,2011-03-17,credit_card,685.0,31.03%,234xx,VA,< 1 year,0.0
4000.0,2011-03-17,major_purchase,632.0,14.25%,136xx,NY,< 1 year,0.0
5000.0,2011-03-23,debt_consolidation,646.0,1.56%,201xx,VA,< 1 year,0.0
2000.0,2011-03-25,home_improvement,0.0,0%,492xx,MI,< 1 year,0.0
18000.0,2011-03-26,debt_consolidation,676.0,13.62%,322xx,FL,5 years,0.0
10000.0,2011-03-30,credit_card,622.0,43.28%,605xx,IL,< 1 year,0.0
5000.0,2011-03-30,home_improvement,634.0,20.7%,150xx,PA,< 1 year,0.0
2700.0,2011-04-02,house,434.0,15.44%,708xx,LA,< 1 year,0.0
12500.0,2011-04-03,car,659.0,13.98%,300xx,GA,10+ years,0.0
18000.0,2011-04-05,car,791.0,52.67%,791xx,TX,< 1 year,0.0
1000.0,2011-04-05,vacation,657.0,0%,300xx,GA,< 1 year,0.0
20000.0,2011-04-05,car,671.0,9.91%,992xx,WA,< 1 year,0.0
1000.0,2011-04-06,debt_consolidation,656.0,26.82%,750xx,TX,< 1 year,0.0
35000.0,2011-04-06,home_improvement,517.0,0%,282xx,NC,< 1 year,0.0
25000.0,2011-04-11,home_improvement,0.0,-1%,349xx,FL,< 1 year,0.0
5000.0,2011-04-19,other,626.0,3.91%,320xx,FL,< 1 year,0.0
8000.0,2011-04-19,car,773.0,34.2%,625xx,IL,< 1 year,0.0
3900.0,2011-04-20,other,774.0,31.76%,571xx,SD,10+ years,0.0
10000.0,2011-04-20,small_business,510.0,77.42%,433xx,OH,< 1 year,0.0
1500.0,2011-04-20,medical,484.0,22.07%,359xx,AL,< 1 year,0.0
20000.0,2011-04-21,other,473.0,20.65%,675xx,KS,< 1 year,0.0
15000.0,2011-04-22,debt_consolidation,655.0,18.08%,432xx,OH,< 1 year,0.0
20000.0,2011-04-23,debt_consolidation,651.0,35.71%,913xx,CA,< 1 year,0.0
9000.0,2011-04-23,credit_card,567.0,31.73%,223xx,VA,< 1 year,0.0
10000.0,2011-04-27,small_business,661.0,16%,294xx,SC,< 1 year,0.0
5000.0,2011-04-28,car,,-1%,247xx,WV,7 years,0.0
20000.0,2011-04-30,major_purchase,,-1%,840xx,UT,10+ years,0.0
18000.0,2011-04-30,major_purchase,525.0,95.08%,784xx,TX,< 1 year,0.0
14000.0,2011-05-02,home_improvement,749.0,18.95%,117xx,NY,< 1 year,0.0
20000.0,2011-05-08,Lending ,669.0,15.55%,923xx,CA,5 years,0.0
15000.0,2011-05-16,debt_consolidation,643.0,14.13%,752xx,TX,< 1 year,0.0
6000.0,2011-05-22,car,,-1%,221xx,VA,10+ years,0.0
3000.0,2011-05-25,home_improvement,512.0,30.19%,165xx,PA,< 1 year,0.0
15000.0,2011-06-01,credit_card,713.0,26.82%,029xx,RI,< 1 year,0.0
5000.0,2011-06-06,other,681.0,27%,294xx,SC,< 1 year,0.0
31000.0,2011-06-13,small_business,0.0,0%,365xx,AL,< 1 year,0.0
35000.0,2011-06-13,credit_card,598.0,41.34%,080xx,NJ,< 1 year,0.0
8000.0,2011-06-16,car,716.0,17.71%,144xx,NY,2 years,0.0
6000.0,2011-06-21,debt_consolidation,501.0,36.1%,410xx,KY,< 1 year,0.0
35000.0,2011-06-21,small_business,650.0,35.53%,804xx,CO,< 1 year,0.0
10000.0,2011-06-25,home_improvement,599.0,7%,234xx,VA,< 1 year,0.0
35000.0,2011-06-26,home_improvement,606.0,9.18%,301xx,GA,< 1 year,0.0
20000.0,2011-06-27,small_business,655.0,10.74%,333xx,FL,< 1 year,0.0
10000.0,2011-07-02,car,741.0,0.63%,553xx,MN,2 years,0.0
2000.0,2011-07-03,debt_consolidation,582.0,15.9%,320xx,FL,< 1 year,0.0
35000.0,2011-07-03,home_improvement,722.0,9.86%,750xx,TX,< 1 year,0.0
7000.0,2011-07-05,debt_consolidation,721.0,24%,300xx,GA,< 1 year,0.0
2500.0,2011-07-07,debt_consolidation,0.0,0%,765xx,TX,< 1 year,0.0
4000.0,2011-07-09,debt_consolidation,659.0,5.16%,850xx,AZ,< 1 year,0.0
1500.0,2011-07-11,debt_consolidation,529.0,27.65%,212xx,MD,< 1 year,0.0
20000.0,2011-07-12,small_business,622.0,199998%,079xx,NJ,< 1 year,0.0
30000.0,2011-07-12,small_business,622.0,0%,902xx,CA,< 1 year,0.0
10000.0,2011-07-16,moving,640.0,11.6%,940xx,CA,< 1 year,0.0
32000.0,2011-07-18,debt_consolidation,719.0,28.73%,550xx,MN,< 1 year,0.0
16000.0,2011-07-20,debt_consolidation,584.0,3.66%,314xx,GA,< 1 year,0.0
17000.0,2011-07-22,home_improvement,550.0,12.91%,651xx,MO,< 1 year,0.0
10000.0,2011-07-22,debt_consolidation,535.0,20.38%,073xx,NJ,< 1 year,0.0
1500.0,2011-07-26,other,504.0,24.38%,782xx,TX,< 1 year,0.0
7000.0,2011-07-31,home_improvement,0.0,-1%,070xx,NJ,< 1 year,0.0
2000.0,2011-08-01,other,494.0,54.6%,317xx,GA,< 1 year,0.0
8000.0,2011-08-02,small_business,692.0,21.45%,780xx,TX,< 1 year,0.0
10000.0,2011-08-02,debt_consolidation,692.0,54.5%,920xx,CA,< 1 year,0.0
4000.0,2011-08-04,wedding,560.0,5.62%,305xx,GA,< 1 year,0.0
3500.0,2011-08-06,other,514.0,27.64%,337xx,FL,< 1 year,0.0
5000.0,2011-08-08,other,647.0,15.41%,217xx,MD,< 1 year,0.0
6500.0,2011-08-09,debt_consolidation,606.0,24.21%,327xx,FL,< 1 year,0.0
10000.0,2011-08-10,car,711.0,14.9%,992xx,WA,4 years,0.0
6000.0,2011-08-12,debt_consolidation,478.0,12.12%,925xx,CA,< 1 year,0.0
15000.0,2011-08-17,Collection Software Loan,730.0,11.26%,554xx,MN,2 years,0.0
4500.0,2011-08-22,car,0.0,0%,188xx,PA,< 1 year,0.0
3000.0,2011-09-01,other,540.0,39.9%,338xx,FL,< 1 year,0.0
18000.0,2011-09-03,debt_consolidation,682.0,20.13%,342xx,FL,< 1 year,0.0
1400.0,2011-09-05,medical,550.0,72.37%,300xx,GA,< 1 year,0.0
10000.0,2011-09-06,debt_consolidation,668.0,13.44%,178xx,PA,< 1 year,0.0
4000.0,2011-09-12,credit_card,616.0,1.04%,925xx,CA,< 1 year,0.0
35000.0,2011-09-12,debt_consolidation,711.0,30.24%,660xx,KS,< 1 year,0.0
17000.0,2011-09-12,major_purchase,601.0,4.87%,285xx,NC,< 1 year,0.0
20000.0,2011-09-14,Personal Loan,698.0,0.87%,021xx,MA,5 years,0.0
3500.0,2011-09-14,vacation,598.0,2.87%,086xx,NJ,< 1 year,0.0
25000.0,2011-09-15,debt_consolidation,699.0,35.54%,024xx,MA,< 1 year,0.0
3000.0,2011-09-19,moving,678.0,1.25%,611xx,IL,< 1 year,0.0
30000.0,2011-09-20,credit_card,683.0,20.64%,721xx,AR,< 1 year,0.0
10000.0,2011-09-23,major_purchase,646.0,45.69%,338xx,FL,< 1 year,0.0
30000.0,2011-09-26,major_purchase,701.0,2.67%,483xx,MI,< 1 year,0.0
20000.0,2011-09-27,credit_card,703.0,27.75%,782xx,TX,< 1 year,0.0
1500.0,2011-09-28,car,610.0,0%,986xx,WA,2 years,0.0
20000.0,2011-10-03,credit_card,656.0,31.17%,782xx,TX,< 1 year,0.0
30000.0,2011-10-03,debt_consolidation,678.0,24.32%,140xx,NY,7 years,0.0
8000.0,2011-10-04,other,0.0,0%,112xx,NY,< 1 year,0.0
24000.0,2011-10-04,Chase and citi,709.0,23.81%,331xx,FL,1 year,0.0
7500.0,2011-10-09,debt_consolidation,669.0,17.97%,020xx,MA,< 1 year,0.0
10000.0,2011-10-11,debt_consolidation,655.0,3.75%,085xx,NJ,1 year,0.0
7000.0,2011-10-12,debt_consolidation,575.0,3.81%,631xx,MO,< 1 year,0.0
30000.0,2011-10-14,credit_card,685.0,38.03%,921xx,CA,< 1 year,0.0
7500.0,2011-10-20,debt_consolidation,654.0,12.39%,933xx,CA,< 1 year,0.0
6000.0,2011-10-22,other,638.0,27.3%,972xx,OR,< 1 year,0.0
2000.0,2011-10-27,other,566.0,22.02%,488xx,MI,< 1 year,0.0
5000.0,2011-10-28,medical,550.0,29.22%,852xx,AZ,< 1 year,0.0
15000.0,2011-10-28,wedding,0.0,199998%,672xx,KS,< 1 year,0.0
34000.0,2011-10-29,car,668.0,17.13%,248xx,WV,3 years,0.0
12000.0,2011-10-29,debt_consolidation,559.0,40.15%,853xx,AZ,< 1 year,0.0
15000.0,2011-10-31,VACATION,786.0,0.83%,086xx,NJ,10+ years,0.0
7500.0,2011-11-04,other,674.0,11.49%,759xx,TX,< 1 year,0.0
25000.0,2011-11-06,debt_consolidation,693.0,30%,233xx,VA,< 1 year,0.0
1000.0,2011-11-09,other,0.0,0%,230xx,VA,< 1 year,0.0
27000.0,2011-11-09,car,0.0,0%,221xx,VA,7 years,0.0
17000.0,2011-11-10,wedding,609.0,23.63%,785xx,TX,< 1 year,0.0
14000.0,2011-11-12,car,626.0,0%,085xx,NJ,< 1 year,0.0
4000.0,2011-11-16,other,659.0,4.71%,018xx,MA,< 1 year,0.0
5000.0,2011-11-16,debt_consolidation,0.0,0%,347xx,FL,< 1 year,0.0
1000.0,2011-11-17,debt_consolidation,611.0,7.56%,606xx,IL,< 1 year,0.0
8000.0,2011-11-19,debt_consolidation,456.0,14.83%,780xx,TX,< 1 year,0.0
5000.0,2011-11-21,debt_consolidation,622.0,7.62%,423xx,OH,< 1 year,0.0
35000.0,2011-11-25,other,565.0,26%,553xx,MN,< 1 year,0.0
5000.0,2011-11-25,credit_card,585.0,3.23%,922xx,CA,< 1 year,0.0
3000.0,2011-11-27,home_improvement,529.0,32.3%,852xx,AZ,< 1 year,0.0
19000.0,2011-11-30,debt_consolidation,647.0,14.27%,216xx,MD,10+ years,0.0
7000.0,2011-11-30,Debt Consolidation,704.0,4.52%,774xx,TX,2 years,0.0
10000.0,2011-12-02,other,512.0,16.58%,937xx,CA,< 1 year,0.0
20000.0,2011-12-05,house,687.0,32.22%,245xx,VA,< 1 year,0.0
6000.0,2011-12-07,personal loan,696.0,12.67%,596xx,MT,7 years,0.0
35000.0,2011-12-08,debt_consolidation,630.0,19.1%,480xx,MI,< 1 year,0.0
1500.0,2011-12-09,car,0.0,0%,068xx,CT,< 1 year,0.0
8900.0,2011-12-10,debt_consolidation,761.0,16.92%,240xx,VA,< 1 year,0.0
1000.0,2011-12-10,renewable_energy,512.0,40.44%,425xx,KY,< 1 year,0.0
30000.0,2011-12-15,small_business,649.0,1.72%,115xx,NY,< 1 year,0.0
10000.0,2011-12-20,other,561.0,14.26%,398xx,GA,< 1 year,0.0
10000.0,2011-12-29,debt_consolidation,727.0,20.69%,951xx,CA,< 1 year,0.0
7000.0,2012-01-01,debt_consolidation,646.0,32.86%,141xx,NY,< 1 year,0.0
5000.0,2012-01-03,debt_consolidation,559.0,12.71%,065xx,CT,< 1 year,0.0
20000.0,2012-01-04,car,645.0,8.27%,786xx,TX,7 years,0.0
20000.0,2012-01-04,debt_consolidation,704.0,46.71%,165xx,PA,< 1 year,0.0
15000.0,2012-01-06,debt_consolidation,701.0,39.19%,300xx,GA,2 years,0.0
10000.0,2012-01-07,debt_consolidation,700.0,27.77%,327xx,FL,< 1 year,0.0
20000.0,2012-01-09,small_business,575.0,17.25%,275xx,NC,< 1 year,0.0
20000.0,2012-01-09,debt_consolidation,680.0,26.45%,596xx,MT,< 1 year,0.0
17000.0,2012-01-11,debt_consolidation,697.0,37.46%,853xx,AZ,< 1 year,0.0
35000.0,2012-01-13,home_improvement,658.0,13.94%,441xx,OH,< 1 year,0.0
35000.0,2012-01-14,debt_consolidation,696.0,35.85%,553xx,MN,< 1 year,0.0
8000.0,2012-01-16,debt_consolidation,570.0,13.95%,282xx,NC,< 1 year,0.0
17000.0,2012-01-17,debt_consolidation,595.0,19.78%,763xx,TX,< 1 year,0.0
15000.0,2012-01-24,debt_consolidation,663.0,27.28%,750xx,TX,< 1 year,0.0
1000.0,2012-01-24,other,0.0,3.13%,945xx,CA,< 1 year,0.0
17000.0,2012-01-25,other,494.0,19.43%,323xx,FL,2 years,0.0
35000.0,2012-01-25,credit_card,677.0,49.98%,958xx,CA,< 1 year,0.0
14000.0,2012-01-28,debt_consolidation,667.0,21.74%,027xx,MA,< 1 year,0.0
2000.0,2012-01-29,vacation,0.0,0%,334xx,FL,< 1 year,0.0
2500.0,2012-01-30,debt_consolidation,474.0,29.9%,773xx,TX,< 1 year,0.0
25300.0,2012-01-30,debt_consolidation,719.0,48.68%,756xx,TX,< 1 year,0.0
35000.0,2012-01-31,small_business,685.0,41%,117xx,NY,< 1 year,0.0
25000.0,2012-02-01,debt_consolidation,634.0,21.23%,334xx,FL,< 1 year,0.0
18000.0,2012-02-02,toyotaloan,673.0,19.98%,943xx,CA,,0.0
35000.0,2012-02-02,house,605.0,30.67%,070xx,NJ,< 1 year,0.0
10000.0,2012-02-02,credit_card,684.0,25.64%,334xx,FL,< 1 year,0.0
5000.0,2012-02-03,house,665.0,22.2%,347xx,FL,< 1 year,0.0
10000.0,2012-02-06,debt_consolidation,636.0,14.89%,104xx,NY,< 1 year,0.0
5000.0,2012-02-06,debt_consolidation,0.0,0%,786xx,TX,< 1 year,0.0
8000.0,2012-02-07,car,730.0,17.81%,240xx,VA,< 1 year,0.0
30000.0,2012-02-07,debt_consolidation,659.0,4.07%,900xx,CA,6 years,0.0
19000.0,2012-02-08,debt_consolidation,691.0,34.77%,946xx,CA,< 1 year,0.0
35000.0,2012-02-08,other,626.0,18.24%,775xx,TX,< 1 year,0.0
8500.0,2012-02-22,major_purchase,680.0,1.5%,207xx,MD,3 years,0.0
25000.0,2012-02-23,credit_card,676.0,38.26%,933xx,CA,< 1 year,0.0
5000.0,2012-02-28,small_business,544.0,1.03%,079xx,NJ,< 1 year,0.0
35000.0,2012-02-28,other,697.0,13.57%,553xx,MN,< 1 year,0.0
20000.0,2012-03-07,debt_consolidation,674.0,65.25%,283xx,NC,< 1 year,0.0
25000.0,2012-03-08,credit_card,703.0,29.42%,350xx,AL,< 1 year,0.0
35000.0,2012-03-11,debt_consolidation,0.0,0%,945xx,CA,< 1 year,0.0
4000.0,2012-03-11,home_improvement,633.0,7.39%,112xx,NY,< 1 year,0.0
35000.0,2012-03-12,Small Business Loan.,750.0,2.93%,275xx,NC,5 years,0.0
7000.0,2012-03-15,major_purchase,626.0,88.56%,953xx,CA,2 years,0.0
6000.0,2012-03-18,debt_consolidation,627.0,17.99%,160xx,PA,< 1 year,0.0
