68593616,Unnamed: 1,28000.0,28000.0.1,28000.0.2, 60 months,8.49,574.33,B,B1,Client Service Manager,1 year,MORTGAGE,75000.0,Not Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68593616,Unnamed: 19,debt_consolidation,Debt consolidation,301xx,GA,24.83,0.0,Jan-2004,685.0,689.0,0.0.1,29.0,Unnamed: 31,16.0,0.0.2,18002.0,72.0,23.0,w,0.0.3,0.0.4,32339.7724681812,32339.77,28000.0.3,4339.77,0.0.5,0.0.6,0.0.7,Apr-2018,17440.21,Unnamed: 49,Jul-2018,694.0,690.0,0.0.8,Unnamed: 54,1.0,Individual,Unnamed: 57,Unnamed: 58,Unnamed: 59,0.0.9,428.0,365724.0,0.0.10,4.0,1.0.1,1.0.2,10.0,63294.0,74.0,1.0.3,1.0.4,7762.0,74.0.1,25000.0,6.0,1.0.5,6.0.1,3.0,22858.0,1024.0,91.8,0.0.11,0.0.12,143.0,101.0,8.0,8.0.1,3.0.1,27.0,Unnamed: 90,0.0.13,29.0.1,0.0.14,4.0.1,10.0.1,4.0.2,5.0,8.0.2,10.0.2,12.0,10.0.3,16.0.1,0.0.15,0.0.16,0.0.17,2.0,95.7,75.0,0.0.18,0.0.19,406511.0,81296.0,12500.0,85509.0,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,N,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Cash,N.1,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150
68374127,,5000.0,5000.0,5000.0, 36 months,20.5,187.1,E,E4,ParaProfessional,3 years,RENT,18406.0,Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68374127,,other,Other,300xx,GA,31.89,0.0,Sep-2009,690.0,694.0,0.0,,,14.0,0.0,5271.0,45.8,15.0,w,0.0,0.0,6539.0341227182,6539.03,5000.0,1539.03,0.0,0.0,0.0,Feb-2018,1899.27,,Aug-2018,649.0,645.0,0.0,,1.0,Individual,,,,0.0,0.0,25214.0,2.0,7.0,2.0,2.0,1.0,19943.0,81.0,1.0,6.0,2433.0,70.0,11500.0,2.0,0.0,6.0,8.0,1801.0,5058.0,50.9,0.0,0.0,72.0,75.0,7.0,1.0,0.0,7.0,,11.0,,0.0,6.0,7.0,6.0,7.0,7.0,7.0,8.0,7.0,14.0,0.0,0.0,0.0,3.0,100.0,33.3,0.0,0.0,36006.0,25214.0,10300.0,24506.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68523287,,28800.0,28800.0,28800.0, 60 months,8.49,590.74,B,B1,Senior Business Analyst,3 years,MORTGAGE,105000.0,Not Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68523287,,credit_card,Credit card refinancing,750xx,TX,12.41,0.0,Dec-2004,735.0,739.0,0.0,,,9.0,0.0,18174.0,51.6,19.0,w,0.0,0.0,32557.0480841526,32557.05,28800.0,3757.05,0.0,0.0,0.0,Oct-2017,20776.21,,Oct-2017,769.0,765.0,0.0,,1.0,Individual,,,,0.0,0.0,217753.0,0.0,2.0,2.0,3.0,7.0,42720.0,89.0,0.0,0.0,16726.0,73.0,35200.0,0.0,2.0,0.0,4.0,24195.0,15026.0,54.7,0.0,0.0,103.0,132.0,42.0,7.0,3.0,42.0,,21.0,,0.0,2.0,2.0,4.0,7.0,6.0,5.0,10.0,2.0,9.0,0.0,0.0,0.0,2.0,100.0,25.0,0.0,0.0,244081.0,60894.0,33200.0,48086.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
67317774,,16000.0,16000.0,15950.0, 60 months,15.77,387.14,D,D1,Administrative Facilities Manager,10+ years,OWN,80000.0,Not Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67317774,,home_improvement,Home improvement,913xx,CA,2.0,0.0,Mar-1991,750.0,754.0,0.0,,,5.0,0.0,2732.0,68.3,14.0,w,0.0,0.0,18525.8471882422,18467.95,16000.0,2525.85,0.0,0.0,0.0,Feb-2017,13915.21,,Nov-2018,744.0,740.0,0.0,,1.0,Individual,,,,0.0,0.0,471501.0,0.0,0.0,0.0,1.0,20.0,0.0,,0.0,0.0,617.0,68.0,4000.0,0.0,0.0,1.0,1.0,94300.0,73.0,93.9,0.0,0.0,166.0,297.0,79.0,20.0,3.0,79.0,,0.0,,0.0,2.0,4.0,2.0,2.0,4.0,4.0,7.0,4.0,5.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,540000.0,2732.0,1200.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68413890,,10000.0,10000.0,10000.0, 36 months,9.8,321.74,B,B3,Agent,3 years,RENT,55000.0,Source Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68413890,,credit_card,Credit card refinancing,112xx,NY,5.8,0.0,Nov-2007,670.0,674.0,0.0,,,9.0,0.0,8405.0,70.0,16.0,w,0.0,0.0,11571.0468294001,11571.05,10000.0,1571.05,0.0,0.0,0.0,Nov-2018,959.07,,Nov-2018,699.0,695.0,0.0,,1.0,Individual,,,,0.0,0.0,8405.0,0.0,0.0,0.0,0.0,,0.0,,1.0,5.0,2852.0,70.0,12000.0,0.0,0.0,0.0,5.0,934.0,3295.0,71.8,0.0,0.0,,97.0,12.0,12.0,0.0,12.0,,20.0,,0.0,6.0,6.0,7.0,11.0,0.0,9.0,16.0,6.0,9.0,0.0,0.0,0.0,1.0,100.0,28.6,0.0,0.0,12000.0,8405.0,11700.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68503742,,15500.0,15500.0,15500.0, 36 months,9.17,494.13,B,B2,Quality Engineer,9 years,RENT,80000.0,Source Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68503742,,credit_card,Credit card refinancing,662xx,KS,5.94,0.0,Oct-1993,660.0,664.0,0.0,60.0,,5.0,0.0,15428.0,57.6,18.0,w,0.0,0.0,17707.3300389701,17707.33,15500.0,2207.33,0.0,0.0,0.0,Aug-2018,2915.02,,Mar-2019,744.0,740.0,0.0,60.0,1.0,Individual,,,,0.0,297.0,15428.0,0.0,0.0,0.0,0.0,102.0,0.0,,0.0,0.0,9154.0,58.0,26800.0,0.0,1.0,0.0,0.0,3086.0,9872.0,61.0,0.0,0.0,148.0,266.0,31.0,31.0,0.0,52.0,60.0,,60.0,3.0,3.0,3.0,4.0,12.0,3.0,5.0,15.0,3.0,5.0,0.0,0.0,0.0,0.0,83.3,50.0,0.0,0.0,26800.0,15428.0,25300.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68493659,,9600.0,9600.0,9600.0, 36 months,10.78,313.3,B,B4,Accountant,4 years,MORTGAGE,46000.0,Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68493659,,debt_consolidation,Debt consolidation,301xx,GA,11.06,1.0,Dec-2007,660.0,664.0,1.0,20.0,104.0,5.0,1.0,4275.0,83.8,7.0,w,0.0,0.0,10586.2623501191,10586.26,9600.0,986.26,0.0,0.0,0.0,Jan-2017,7108.34,,Jul-2017,699.0,695.0,0.0,,1.0,Individual,,,,0.0,0.0,128428.0,1.0,2.0,1.0,3.0,2.0,5440.0,78.0,0.0,1.0,3635.0,80.0,5100.0,1.0,2.0,1.0,4.0,25686.0,265.0,93.2,0.0,0.0,71.0,96.0,18.0,2.0,1.0,96.0,,2.0,,0.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,83.3,100.0,1.0,0.0,142691.0,9715.0,3900.0,7000.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68353570,,15000.0,15000.0,15000.0, 36 months,11.99,498.15,C,C1,Correctional Officer,5 years,RENT,70000.0,Not Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68353570,,debt_consolidation,Debt consolidation,939xx,CA,13.41,0.0,Jul-2006,700.0,704.0,0.0,,,6.0,0.0,9844.0,59.3,15.0,w,0.0,0.0,17953.0859022708,17953.09,15000.0,2953.09,0.0,0.0,0.0,Jan-2019,497.86,,Jan-2019,719.0,715.0,0.0,,1.0,Individual,,,,0.0,0.0,42737.0,0.0,1.0,1.0,1.0,10.0,32893.0,,0.0,0.0,3540.0,59.0,16600.0,2.0,0.0,5.0,1.0,7123.0,2652.0,60.4,0.0,0.0,113.0,99.0,41.0,10.0,0.0,41.0,,3.0,,0.0,2.0,4.0,3.0,5.0,3.0,5.0,12.0,4.0,6.0,0.0,0.0,0.0,1.0,100.0,33.3,0.0,0.0,55184.0,42737.0,6700.0,38584.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68493489,,24000.0,24000.0,24000.0, 60 months,13.99,558.32,C,C4,Replensher,10+ years,RENT,62640.0,Source Verified,Dec-2015,Late (16-30 days),n,https://lendingclub.com/browse/loanDetail.action?loan_id=68493489,,credit_card,Credit card refinancing,210xx,MD,13.2,0.0,Aug-2005,665.0,669.0,0.0,46.0,,15.0,0.0,21931.0,59.0,21.0,w,11206.54,11206.54,20713.8,20713.8,12793.46,7920.34,0.0,0.0,0.0,Feb-2019,558.32,Apr-2019,Mar-2019,699.0,695.0,0.0,,1.0,Individual,,,,0.0,0.0,21931.0,1.0,0.0,0.0,0.0,97.0,0.0,,1.0,4.0,3339.0,59.0,37200.0,0.0,0.0,0.0,4.0,1462.0,1428.0,91.8,0.0,0.0,124.0,124.0,6.0,6.0,0.0,17.0,,23.0,,0.0,8.0,11.0,8.0,8.0,3.0,15.0,18.0,11.0,15.0,0.0,0.0,0.0,1.0,95.2,87.5,0.0,0.0,37200.0,21931.0,17500.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68232599,,8000.0,8000.0,7825.0, 36 months,14.85,276.74,C,C5,Director of Development,< 1 year,MORTGAGE,110000.0,Source Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68232599,,credit_card,Credit card refinancing,112xx,NY,28.62,0.0,May-2000,690.0,694.0,1.0,,,13.0,0.0,59172.0,90.6,22.0,f,0.0,0.0,9516.7715548141,9308.59,8000.0,1516.77,0.0,0.0,0.0,Aug-2017,4532.82,,Aug-2018,679.0,675.0,0.0,,1.0,Individual,,,,0.0,0.0,448361.0,1.0,2.0,0.0,2.0,16.0,28701.0,64.0,1.0,6.0,30302.0,80.0,65300.0,2.0,0.0,1.0,8.0,40760.0,2028.0,96.7,0.0,0.0,156.0,187.0,6.0,6.0,3.0,6.0,,3.0,,0.0,5.0,5.0,6.0,8.0,3.0,10.0,15.0,5.0,13.0,0.0,0.0,0.0,1.0,100.0,83.3,0.0,0.0,508380.0,87873.0,61200.0,44789.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68172296,,35000.0,35000.0,35000.0, 60 months,14.85,829.9,C,C5,Senior Software Engineer,3 years,RENT,98000.0,Verified,Dec-2015,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68172296,,debt_consolidation,Debt consolidation,357xx,AL,25.8,0.0,Feb-2004,710.0,714.0,1.0,66.0,,30.0,0.0,21575.0,43.1,50.0,w,15264.49,15264.49,32337.22,32337.22,19735.51,12601.71,0.0,0.0,0.0,Mar-2019,829.9,Apr-2019,Mar-2019,729.0,725.0,0.0,66.0,1.0,Individual,,,,0.0,0.0,91674.0,1.0,18.0,1.0,2.0,12.0,70099.0,81.0,1.0,3.0,6520.0,67.0,50000.0,0.0,1.0,2.0,5.0,3056.0,20654.0,43.4,0.0,0.0,142.0,137.0,4.0,4.0,0.0,4.0,,0.0,,1.0,6.0,10.0,7.0,11.0,32.0,11.0,17.0,10.0,30.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,137942.0,91674.0,36500.0,86480.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
67235767,,16000.0,16000.0,16000.0, 60 months,11.99,355.84,C,C1,Director of Student Services,10+ years,MORTGAGE,113500.0,Source Verified,Dec-2015,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67235767,,debt_consolidation,Debt consolidation,290xx,SC,27.18,0.0,Feb-1999,700.0,704.0,0.0,79.0,,17.0,0.0,10069.0,42.8,35.0,w,6710.02,6710.02,13860.69,13860.69,9289.98,4570.71,0.0,0.0,0.0,Mar-2019,355.84,Apr-2019,Mar-2019,719.0,715.0,0.0,,1.0,Individual,,,,0.0,0.0,302777.0,1.0,7.0,3.0,5.0,3.0,81259.0,81.0,0.0,0.0,1769.0,73.0,23500.0,2.0,14.0,1.0,5.0,18924.0,5829.0,38.6,0.0,0.0,125.0,136.0,42.0,3.0,2.0,51.0,,1.0,,0.0,4.0,7.0,5.0,7.0,21.0,9.0,12.0,7.0,17.0,0.0,0.0,0.0,3.0,97.1,20.0,0.0,0.0,344918.0,91328.0,9500.0,100918.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
67910220,,16000.0,16000.0,16000.0, 60 months,27.88,497.02,G,G3,Sergeant,9 years,MORTGAGE,40000.0,Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67910220,,debt_consolidation,Debt consolidation,433xx,OH,27.15,0.0,Jan-2003,695.0,699.0,0.0,59.0,,13.0,0.0,6143.0,22.8,37.0,w,0.0,0.0,19071.57,19071.57,16000.0,3071.57,0.0,0.0,0.0,Sep-2016,15617.21,,Mar-2019,574.0,570.0,0.0,65.0,1.0,Individual,,,,0.0,0.0,158861.0,2.0,1.0,2.0,3.0,4.0,43519.0,,1.0,4.0,5347.0,23.0,26900.0,0.0,0.0,4.0,7.0,12220.0,4653.0,53.5,0.0,0.0,150.0,155.0,3.0,3.0,3.0,3.0,68.0,1.0,68.0,4.0,1.0,2.0,3.0,11.0,7.0,11.0,27.0,2.0,13.0,0.0,0.0,0.0,3.0,83.8,33.3,0.0,0.0,184152.0,49662.0,10000.0,43987.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
