loan_amnt,dti,fico_score,addr_state,emp_length,issue_d,bad_loan,int_rate,grade,annual_inc,home_ownership,rejected
25000.0,30.42,722.0,FL,10.0,2015-12-01,0.0,6.24,A,109000.0,MORTGAGE,0
7000.0,12.63,757.0,NY,4.0,2015-12-01,0.0,10.64,B,85000.0,RENT,0
2200.0,12.17,672.0,NY,8.0,2015-12-01,0.0,12.59,C,65000.0,RENT,0
25000.0,30.51,702.0,NY,10.0,2015-12-01,0.0,13.67,C,84000.0,OWN,0
9000.0,24.39,682.0,MD,1.0,2015-12-01,0.0,11.99,C,47000.0,RENT,0
10000.0,13.78,682.0,CO,1.0,2015-12-01,0.0,7.26,A,71000.0,MORTGAGE,0
35000.0,19.76,732.0,PA,1.0,2015-12-01,0.0,12.59,C,235000.0,MORTGAGE,0
14400.0,3.03,672.0,FL,9.0,2015-12-01,0.0,18.2,E,78000.0,RENT,0
5000.0,9.49,667.0,KY,1.0,2015-12-01,0.0,11.22,B,22000.0,RENT,0
10000.0,18.47,662.0,IL,9.0,2015-12-01,0.0,12.59,C,76000.0,MORTGAGE,0
7200.0,28.3,692.0,VA,2.0,2015-12-01,0.0,7.89,A,75000.0,RENT,0
22000.0,9.08,692.0,NY,1.0,2015-12-01,0.0,9.17,B,80000.0,RENT,0
10000.0,22.3,712.0,TX,10.0,2015-12-01,0.0,9.17,B,64000.0,MORTGAGE,0
10000.0,18.71,722.0,TX,8.0,2015-12-01,0.0,7.89,A,97000.0,MORTGAGE,0
35000.0,17.1,767.0,OK,2.0,2015-12-01,0.0,13.67,C,79040.0,RENT,0
20000.0,7.89,662.0,NY,1.0,2015-12-01,0.0,11.99,C,103000.0,RENT,0
16000.0,39.49,717.0,VA,1.0,2015-12-01,0.0,9.76,B,65000.0,RENT,0
8000.0,21.4,662.0,CA,9.0,2015-12-01,0.0,13.67,C,56250.0,RENT,0
14400.0,24.24,692.0,LA,1.0,2015-12-01,0.0,8.38,B,60000.0,MORTGAGE,0
5850.0,15.14,682.0,AZ,9.0,2015-12-01,1.0,14.48,C,60000.0,OWN,0
6000.0,30.15,682.0,PA,10.0,2015-12-01,1.0,11.99,C,78000.0,MORTGAGE,0
3000.0,22.83,752.0,WA,,2015-12-01,0.0,9.17,B,34486.0,MORTGAGE,0
20000.0,24.52,692.0,WA,10.0,2015-12-01,0.0,11.22,B,60000.0,RENT,0
10000.0,9.31,682.0,CA,10.0,2015-12-01,0.0,11.22,B,35000.0,RENT,0
15250.0,24.07,662.0,IL,2.0,2015-12-01,0.0,20.99,E,53000.0,MORTGAGE,0
10000.0,24.95,682.0,NJ,2.0,2015-12-01,0.0,12.59,C,38000.0,OWN,0
4000.0,30.96,677.0,TX,10.0,2015-12-01,0.0,9.17,B,138000.0,MORTGAGE,0
25000.0,38.72,737.0,OH,7.0,2015-12-01,0.0,13.18,C,75000.0,MORTGAGE,0
2000.0,24.18,722.0,OH,1.0,2015-12-01,1.0,15.41,D,34000.0,RENT,0
12000.0,18.72,672.0,FL,7.0,2015-12-01,0.0,18.49,E,37560.0,OWN,0
15000.0,4.76,667.0,AR,1.0,2015-12-01,0.0,13.67,C,60000.0,OWN,0
30000.0,23.19,697.0,AR,2.0,2015-12-01,0.0,7.89,A,85000.0,MORTGAGE,0
18000.0,11.48,682.0,OR,3.0,2015-12-01,0.0,7.26,A,58000.0,MORTGAGE,0
20000.0,11.13,692.0,GA,1.0,2015-12-01,1.0,14.48,C,140000.0,MORTGAGE,0
26400.0,36.65,707.0,NY,7.0,2015-12-01,1.0,18.99,E,66000.0,RENT,0
3000.0,29.17,692.0,IL,10.0,2015-12-01,0.0,8.38,B,69000.0,MORTGAGE,0
9575.0,14.53,702.0,CA,5.0,2015-12-01,0.0,18.49,E,130000.0,MORTGAGE,0
35000.0,15.57,702.0,NV,4.0,2015-12-01,0.0,13.18,C,83000.0,RENT,0
14400.0,9.6,687.0,OH,10.0,2015-12-01,0.0,12.59,C,40000.0,MORTGAGE,0
10000.0,26.53,737.0,TX,3.0,2015-12-01,1.0,6.89,A,95000.0,MORTGAGE,0
8000.0,7.29,667.0,NY,1.0,2015-12-01,1.0,13.18,C,72300.0,RENT,0
18000.0,23.59,712.0,NC,10.0,2015-12-01,0.0,7.26,A,82500.0,MORTGAGE,0
9600.0,29.35,662.0,SC,4.0,2015-12-01,1.0,11.99,C,75000.0,MORTGAGE,0
18000.0,15.98,702.0,AL,2.0,2015-12-01,0.0,10.64,B,145000.0,MORTGAGE,0
24000.0,16.27,722.0,FL,10.0,2015-12-01,0.0,5.32,A,67000.0,MORTGAGE,0
12000.0,14.91,667.0,CA,10.0,2015-12-01,0.0,11.99,C,78000.0,MORTGAGE,0
6000.0,6.27,772.0,FL,10.0,2015-12-01,0.0,7.89,A,58000.0,OWN,0
24000.0,9.52,732.0,OH,5.0,2015-12-01,0.0,6.24,A,110000.0,MORTGAGE,0
34000.0,15.58,727.0,FL,2.0,2015-12-01,1.0,13.18,C,95000.0,MORTGAGE,0
6000.0,1.09,667.0,MD,4.0,2015-12-01,0.0,10.64,B,175000.0,RENT,0
10000.0,13.2,722.0,WI,,2015-12-01,0.0,7.89,A,24000.0,OWN,0
20000.0,35.62,667.0,NJ,10.0,2015-12-01,1.0,17.86,D,57000.0,RENT,0
7000.0,11.04,687.0,NY,1.0,2015-12-01,0.0,7.89,A,50000.0,RENT,0
10000.0,2.45,667.0,NY,1.0,2015-12-01,0.0,13.18,C,132000.0,RENT,0
11000.0,22.74,707.0,IN,1.0,2015-12-01,0.0,12.59,C,35000.0,MORTGAGE,0
21150.0,8.94,687.0,NJ,10.0,2015-12-01,0.0,17.86,D,75000.0,RENT,0
8750.0,19.01,672.0,CA,3.0,2015-12-01,1.0,15.41,D,120000.0,RENT,0
12000.0,13.92,672.0,NC,1.0,2015-12-01,1.0,18.2,E,37000.0,RENT,0
15000.0,10.89,757.0,TX,2.0,2015-12-01,0.0,5.32,A,195000.0,MORTGAGE,0
35000.0,20.87,752.0,CA,9.0,2015-12-01,0.0,12.59,C,115000.0,MORTGAGE,0
9000.0,26.77,687.0,TN,7.0,2015-12-01,0.0,7.89,A,65000.0,MORTGAGE,0
9600.0,11.21,682.0,OK,10.0,2015-12-01,0.0,16.55,D,100000.0,MORTGAGE,0
28000.0,8.93,677.0,NY,10.0,2015-12-01,0.0,18.99,E,100000.0,RENT,0
16200.0,33.66,662.0,UT,8.0,2015-12-01,1.0,14.48,C,47339.6,RENT,0
16000.0,26.82,682.0,OH,4.0,2015-12-01,0.0,9.17,B,55000.0,RENT,0
6000.0,6.67,662.0,CA,2.0,2015-12-01,0.0,8.38,B,165000.0,RENT,0
8000.0,18.49,662.0,LA,6.0,2015-12-01,0.0,15.41,D,49000.0,MORTGAGE,0
22000.0,4.82,677.0,CA,1.0,2015-12-01,0.0,11.99,C,100000.0,MORTGAGE,0
4000.0,23.99,677.0,CO,2.0,2015-12-01,0.0,9.76,B,37580.0,RENT,0
20800.0,23.96,702.0,NJ,10.0,2015-12-01,0.0,5.32,A,80000.0,RENT,0
8500.0,4.99,767.0,WA,,2015-12-01,0.0,13.67,C,25000.0,OWN,0
5600.0,25.5,672.0,CO,8.0,2015-12-01,0.0,8.38,B,75000.0,RENT,0
22650.0,20.86,682.0,CA,6.0,2015-12-01,0.0,15.41,D,91000.0,RENT,0
10000.0,17.38,687.0,NY,2.0,2015-12-01,0.0,20.99,E,58500.0,RENT,0
5000.0,8.03,727.0,TX,3.0,2015-12-01,0.0,14.48,C,113000.0,RENT,0
6400.0,28.22,682.0,AZ,10.0,2015-12-01,0.0,11.22,B,80000.0,MORTGAGE,0
25000.0,31.68,692.0,GA,10.0,2015-12-01,0.0,8.38,B,75000.0,RENT,0
18000.0,18.52,662.0,NJ,10.0,2015-12-01,0.0,8.38,B,70000.0,RENT,0
16000.0,25.99,722.0,CA,5.0,2015-12-01,0.0,9.76,B,95000.0,RENT,0
12000.0,17.17,672.0,OH,10.0,2015-12-01,0.0,12.59,C,55000.0,OWN,0
28000.0,23.45,752.0,WA,10.0,2015-12-01,0.0,7.26,A,95000.0,MORTGAGE,0
12000.0,20.26,712.0,CA,2.0,2015-12-01,0.0,12.59,C,43000.0,MORTGAGE,0
16800.0,19.55,682.0,IL,4.0,2015-12-01,0.0,12.59,C,62000.0,RENT,0
10000.0,19.63,732.0,NY,,2015-12-01,0.0,12.59,C,31000.0,RENT,0
12000.0,18.02,717.0,NC,5.0,2015-12-01,0.0,9.76,B,51000.0,OWN,0
7000.0,27.82,667.0,CA,2.0,2015-12-01,0.0,13.67,C,129391.0,RENT,0
20000.0,23.59,667.0,CO,1.0,2015-12-01,1.0,18.2,E,29000.0,RENT,0
16200.0,11.07,662.0,TN,10.0,2015-12-01,1.0,17.86,D,45000.0,RENT,0
30000.0,18.78,682.0,AL,10.0,2015-12-01,0.0,11.99,C,120000.0,MORTGAGE,0
10000.0,12.09,692.0,CA,10.0,2015-12-01,0.0,19.99,E,41300.0,MORTGAGE,0
10675.0,39.76,662.0,TX,,2015-12-01,1.0,17.86,D,51000.0,MORTGAGE,0
20000.0,36.56,777.0,WA,3.0,2015-12-01,0.0,12.59,C,54000.0,RENT,0
30000.0,2.46,682.0,LA,9.0,2015-12-01,0.0,15.41,D,80000.0,MORTGAGE,0
19900.0,20.73,667.0,NJ,3.0,2015-12-01,1.0,9.76,B,85000.0,RENT,0
14000.0,6.88,672.0,SC,1.0,2015-12-01,1.0,17.86,D,52000.0,RENT,0
12000.0,13.95,662.0,CA,1.0,2015-12-01,0.0,11.22,B,86700.0,MORTGAGE,0
26400.0,16.08,692.0,AZ,2.0,2015-12-01,0.0,18.2,E,60000.0,OWN,0
35000.0,10.2,742.0,OH,10.0,2015-12-01,0.0,10.64,B,123500.0,MORTGAGE,0
28000.0,21.18,702.0,MN,10.0,2015-12-01,0.0,6.24,A,82000.0,MORTGAGE,0
3500.0,5.57,767.0,IL,1.0,2015-12-01,0.0,6.89,A,58000.0,MORTGAGE,0
15600.0,34.85,722.0,TN,2.0,2015-12-01,0.0,9.76,B,51000.0,MORTGAGE,0
16800.0,33.04,672.0,DE,1.0,2015-12-01,0.0,15.41,D,40000.0,RENT,0
20000.0,16.46,732.0,OH,10.0,2015-12-01,0.0,5.32,A,95000.0,OWN,0
12000.0,12.27,662.0,CA,2.0,2015-12-01,0.0,21.99,F,80000.0,RENT,0
11500.0,21.36,667.0,CO,10.0,2015-12-01,0.0,13.18,C,38700.0,RENT,0
30000.0,4.64,742.0,CA,2.0,2015-12-01,1.0,13.18,C,100000.0,RENT,0
7000.0,16.07,717.0,FL,1.0,2015-12-01,1.0,9.76,B,62000.0,MORTGAGE,0
24000.0,9.47,707.0,OH,10.0,2015-12-01,0.0,13.18,C,62000.0,MORTGAGE,0
20000.0,7.89,677.0,CO,1.0,2015-12-01,1.0,13.67,C,75000.0,OWN,0
11500.0,15.87,687.0,CA,10.0,2015-12-01,0.0,10.64,B,50000.0,RENT,0
25000.0,14.56,702.0,NC,10.0,2015-12-01,1.0,20.99,E,120000.0,OWN,0
1600.0,6.06,727.0,CO,10.0,2015-12-01,0.0,6.89,A,76000.0,MORTGAGE,0
14400.0,19.22,727.0,FL,10.0,2015-12-01,0.0,17.57,D,60000.0,OWN,0
7000.0,31.53,687.0,TX,10.0,2015-12-01,0.0,9.17,B,55000.0,OWN,0
35000.0,26.44,697.0,NJ,2.0,2015-12-01,0.0,10.64,B,130000.0,MORTGAGE,0
12000.0,0.89,787.0,NY,2.0,2015-12-01,0.0,7.26,A,70000.0,RENT,0
10000.0,3.18,822.0,SC,3.0,2015-12-01,0.0,6.24,A,176000.0,MORTGAGE,0
17500.0,33.01,772.0,CA,5.0,2015-12-01,0.0,7.89,A,60000.0,RENT,0
5000.0,4.62,732.0,CA,5.0,2015-12-01,0.0,6.24,A,40000.0,RENT,0
25000.0,26.33,667.0,AR,10.0,2015-12-01,0.0,13.18,C,95000.0,MORTGAGE,0
5000.0,32.04,672.0,MN,10.0,2015-12-01,0.0,9.17,B,48000.0,RENT,0
2000.0,34.16,677.0,CA,2.0,2015-12-01,0.0,11.99,C,43000.0,RENT,0
20000.0,42.03,687.0,OK,10.0,2015-12-01,0.0,15.41,D,78000.0,MORTGAGE,0
12600.0,10.63,682.0,NY,10.0,2015-12-01,0.0,14.48,C,145000.0,MORTGAGE,0
15000.0,19.62,662.0,NJ,9.0,2015-12-01,0.0,11.22,B,69500.0,RENT,0
24800.0,9.83,667.0,NC,10.0,2015-12-01,0.0,11.99,C,900000.0,MORTGAGE,0
1600.0,28.99,702.0,LA,1.0,2015-12-01,0.0,9.17,B,20000.0,RENT,0
25125.0,39.32,667.0,CO,2.0,2015-12-01,0.0,27.88,G,86000.0,MORTGAGE,0
11200.0,28.84,697.0,LA,10.0,2015-12-01,0.0,13.67,C,55500.0,MORTGAGE,0
7500.0,11.14,682.0,TX,1.0,2015-12-01,0.0,14.48,C,68000.0,MORTGAGE,0
25000.0,13.3,662.0,MT,10.0,2015-12-01,0.0,13.67,C,100000.0,MORTGAGE,0
11925.0,21.51,702.0,TX,,2015-12-01,1.0,18.49,E,61248.0,RENT,0
28000.0,26.7,767.0,AR,9.0,2015-12-01,0.0,8.38,B,150000.0,MORTGAGE,0
15000.0,26.8,677.0,CA,5.0,2015-12-01,1.0,11.99,C,130000.0,RENT,0
9075.0,12.06,667.0,TX,10.0,2015-12-01,0.0,12.59,C,60000.0,MORTGAGE,0
15000.0,11.53,707.0,MD,7.0,2015-12-01,0.0,5.32,A,150000.0,RENT,0
12000.0,19.92,672.0,MN,6.0,2015-12-01,0.0,9.76,B,120671.0,MORTGAGE,0
14000.0,33.52,662.0,NC,10.0,2015-12-01,1.0,13.67,C,110000.0,MORTGAGE,0
20000.0,9.52,682.0,CA,10.0,2015-12-01,0.0,11.99,C,63000.0,RENT,0
20000.0,15.59,677.0,CA,3.0,2015-12-01,0.0,8.38,B,49742.0,RENT,0
20800.0,36.78,697.0,TN,10.0,2015-12-01,0.0,10.64,B,49000.0,MORTGAGE,0
10000.0,18.57,712.0,NY,2.0,2015-12-01,0.0,7.26,A,80000.0,MORTGAGE,0
15000.0,13.77,687.0,NJ,10.0,2015-12-01,1.0,7.26,A,150000.0,MORTGAGE,0
35000.0,22.13,682.0,CA,8.0,2015-12-01,0.0,13.67,C,235000.0,RENT,0
1000.0,29.12,687.0,KY,4.0,2015-12-01,0.0,11.22,B,38000.0,MORTGAGE,0
10500.0,30.89,697.0,IL,10.0,2015-12-01,0.0,13.67,C,140000.0,MORTGAGE,0
15000.0,9.71,687.0,TX,8.0,2015-12-01,0.0,10.64,B,120000.0,MORTGAGE,0
25000.0,13.47,712.0,FL,10.0,2015-12-01,0.0,5.32,A,167000.0,MORTGAGE,0
35000.0,9.73,707.0,OH,5.0,2015-12-01,0.0,11.99,C,295000.0,MORTGAGE,0
27350.0,18.16,702.0,CT,10.0,2015-12-01,1.0,20.99,E,60000.0,MORTGAGE,0
30000.0,26.83,712.0,AZ,6.0,2015-12-01,0.0,12.59,C,70018.0,MORTGAGE,0
24000.0,26.76,707.0,OH,3.0,2015-12-01,0.0,7.26,A,60000.0,OWN,0
25200.0,9.7,717.0,OR,1.0,2015-12-01,0.0,10.64,B,110000.0,RENT,0
3000.0,24.16,687.0,NH,2.0,2015-12-01,0.0,13.67,C,17490.0,RENT,0
15000.0,20.73,702.0,FL,1.0,2015-12-01,0.0,7.89,A,91000.0,MORTGAGE,0
22500.0,10.06,682.0,MI,2.0,2015-12-01,0.0,21.99,F,97000.0,MORTGAGE,0
22000.0,23.27,717.0,MD,1.0,2015-12-01,0.0,9.76,B,90000.0,MORTGAGE,0
14700.0,17.74,682.0,NH,4.0,2015-12-01,0.0,12.59,C,32000.0,RENT,0
11200.0,29.46,727.0,NJ,10.0,2015-12-01,0.0,6.24,A,71000.0,MORTGAGE,0
25000.0,29.24,702.0,MI,1.0,2015-12-01,0.0,9.76,B,63000.0,RENT,0
10000.0,15.84,672.0,FL,9.0,2015-12-01,0.0,11.22,B,50000.0,MORTGAGE,0
10000.0,13.36,717.0,MS,,2015-12-01,0.0,7.89,A,25000.0,MORTGAGE,0
12000.0,21.41,667.0,MN,10.0,2015-12-01,1.0,21.99,F,45000.0,RENT,0
6000.0,23.6,682.0,CO,10.0,2015-12-01,0.0,15.41,D,68580.0,MORTGAGE,0
16000.0,32.59,727.0,CA,10.0,2015-12-01,0.0,7.89,A,45600.0,RENT,0
12000.0,2.24,697.0,LA,10.0,2015-12-01,1.0,8.38,B,88750.0,MORTGAGE,0
5000.0,32.35,677.0,MD,,2015-12-01,0.0,11.99,C,27600.0,RENT,0
4100.0,29.43,747.0,WI,2.0,2015-12-01,0.0,6.89,A,29000.0,MORTGAGE,0
6000.0,8.19,717.0,GA,2.0,2015-12-01,0.0,6.89,A,45000.0,MORTGAGE,0
3000.0,31.36,682.0,GA,1.0,2015-12-01,0.0,11.99,C,53000.0,RENT,0
14400.0,14.04,787.0,TX,7.0,2015-12-01,0.0,7.89,A,90000.0,MORTGAGE,0
17000.0,15.04,777.0,MA,3.0,2015-12-01,0.0,7.89,A,62000.0,MORTGAGE,0
2700.0,7.11,682.0,NV,5.0,2015-12-01,0.0,5.32,A,106000.0,MORTGAGE,0
24000.0,22.52,677.0,NH,6.0,2015-12-01,0.0,13.18,C,64000.0,MORTGAGE,0
3000.0,11.73,677.0,MD,5.0,2015-12-01,0.0,11.22,B,128000.0,MORTGAGE,0
18000.0,15.34,667.0,WA,7.0,2015-12-01,0.0,18.2,E,75000.0,RENT,0
32400.0,32.69,727.0,MN,7.0,2015-12-01,0.0,13.67,C,74000.0,MORTGAGE,0
5000.0,3.94,702.0,WI,5.0,2015-12-01,0.0,11.99,C,42000.0,RENT,0
21000.0,27.55,702.0,TX,2.0,2015-12-01,1.0,12.59,C,85000.0,RENT,0
25000.0,6.43,692.0,OH,10.0,2015-12-01,0.0,9.17,B,125000.0,MORTGAGE,0
8000.0,21.89,707.0,ND,7.0,2015-12-01,0.0,9.76,B,70000.0,MORTGAGE,0
5000.0,6.8,677.0,FL,,2015-12-01,1.0,11.99,C,27547.0,MORTGAGE,0
6025.0,12.24,712.0,MA,10.0,2015-12-01,0.0,7.89,A,40000.0,MORTGAGE,0
16000.0,18.71,747.0,IN,1.0,2015-12-01,0.0,5.32,A,50000.0,OWN,0
6600.0,14.35,672.0,CA,10.0,2015-12-01,0.0,16.55,D,65000.0,RENT,0
6000.0,15.72,727.0,OH,3.0,2015-12-01,1.0,13.18,C,50000.0,RENT,0
13200.0,16.12,677.0,IL,1.0,2015-12-01,1.0,20.99,E,30000.0,RENT,0
7500.0,5.66,677.0,PA,2.0,2015-12-01,0.0,9.17,B,50082.0,RENT,0
8400.0,18.51,707.0,MI,3.0,2015-12-01,0.0,9.17,B,31000.0,RENT,0
19000.0,2.14,662.0,CO,1.0,2015-12-01,0.0,17.57,D,83000.0,MORTGAGE,0
16000.0,32.39,687.0,FL,4.0,2015-12-01,0.0,8.38,B,61000.0,OWN,0
12000.0,23.98,687.0,TX,4.0,2015-12-01,0.0,13.67,C,39000.0,MORTGAGE,0
25000.0,9.42,722.0,IL,1.0,2015-12-01,0.0,6.24,A,100000.0,MORTGAGE,0
11200.0,15.23,682.0,VA,1.0,2015-12-01,0.0,9.17,B,71000.0,RENT,0
15000.0,18.82,772.0,OH,10.0,2015-12-01,0.0,11.99,C,54000.0,OWN,0
20000.0,11.93,687.0,MI,8.0,2015-12-01,0.0,7.26,A,65000.0,MORTGAGE,0
12000.0,34.16,687.0,FL,10.0,2015-12-01,0.0,13.67,C,74000.0,MORTGAGE,0
20000.0,6.6,667.0,CA,9.0,2015-12-01,1.0,8.38,B,75000.0,MORTGAGE,0
23000.0,15.9,702.0,NY,10.0,2015-12-01,0.0,9.76,B,110000.0,MORTGAGE,0
13000.0,5.31,727.0,CA,1.0,2015-12-01,0.0,7.26,A,75000.0,MORTGAGE,0
20000.0,3.84,757.0,CA,10.0,2015-12-01,0.0,9.17,B,50000.0,MORTGAGE,0
16475.0,10.42,682.0,VA,7.0,2015-12-01,1.0,13.67,C,63000.0,RENT,0
