amount_requested,application_date,loan_title,risk_score,zip_code,state,employment_length,policy_code,dti,rejected
10000.0,,home_improvement,599.0,234xx,VA,< 1 year,0.0,7.0,1
35000.0,,home_improvement,606.0,301xx,GA,< 1 year,0.0,9.18,1
20000.0,,small_business,655.0,333xx,FL,< 1 year,0.0,10.74,1
10000.0,,car,741.0,553xx,MN,2 years,0.0,0.63,1
2000.0,,debt_consolidation,582.0,320xx,FL,< 1 year,0.0,15.9,1
35000.0,,home_improvement,722.0,750xx,TX,< 1 year,0.0,9.86,1
7000.0,,debt_consolidation,721.0,300xx,GA,< 1 year,0.0,24.0,1
2500.0,,debt_consolidation,0.0,765xx,TX,< 1 year,0.0,0.0,1
4000.0,,debt_consolidation,659.0,850xx,AZ,< 1 year,0.0,5.16,1
1500.0,,debt_consolidation,529.0,212xx,MD,< 1 year,0.0,27.65,1
20000.0,,small_business,622.0,079xx,NJ,< 1 year,0.0,200.0,1
30000.0,,small_business,622.0,902xx,CA,< 1 year,0.0,0.0,1
10000.0,,moving,640.0,940xx,CA,< 1 year,0.0,11.6,1
32000.0,,debt_consolidation,719.0,550xx,MN,< 1 year,0.0,28.73,1
16000.0,,debt_consolidation,584.0,314xx,GA,< 1 year,0.0,3.66,1
17000.0,,home_improvement,550.0,651xx,MO,< 1 year,0.0,12.91,1
10000.0,,debt_consolidation,535.0,073xx,NJ,< 1 year,0.0,20.38,1
1500.0,,other,504.0,782xx,TX,< 1 year,0.0,24.38,1
7000.0,,home_improvement,0.0,070xx,NJ,< 1 year,0.0,-1.0,1
2000.0,,other,494.0,317xx,GA,< 1 year,0.0,54.6,1
8000.0,,small_business,692.0,780xx,TX,< 1 year,0.0,21.45,1
10000.0,,debt_consolidation,692.0,920xx,CA,< 1 year,0.0,54.5,1
4000.0,,wedding,560.0,305xx,GA,< 1 year,0.0,5.62,1
3500.0,,other,514.0,337xx,FL,< 1 year,0.0,27.64,1
5000.0,,other,647.0,217xx,MD,< 1 year,0.0,15.41,1
6500.0,,debt_consolidation,606.0,327xx,FL,< 1 year,0.0,24.21,1
10000.0,,car,711.0,992xx,WA,4 years,0.0,14.9,1
6000.0,,debt_consolidation,478.0,925xx,CA,< 1 year,0.0,12.12,1
15000.0,,Collection Software Loan,730.0,554xx,MN,2 years,0.0,11.26,1
4500.0,,car,0.0,188xx,PA,< 1 year,0.0,0.0,1
3000.0,,other,540.0,338xx,FL,< 1 year,0.0,39.9,1
18000.0,,debt_consolidation,682.0,342xx,FL,< 1 year,0.0,20.13,1
1400.0,,medical,550.0,300xx,GA,< 1 year,0.0,72.37,1
10000.0,,debt_consolidation,668.0,178xx,PA,< 1 year,0.0,13.44,1
4000.0,,credit_card,616.0,925xx,CA,< 1 year,0.0,1.04,1
35000.0,,debt_consolidation,711.0,660xx,KS,< 1 year,0.0,30.24,1
17000.0,,major_purchase,601.0,285xx,NC,< 1 year,0.0,4.87,1
20000.0,,Personal Loan,698.0,021xx,MA,5 years,0.0,0.87,1
3500.0,,vacation,598.0,086xx,NJ,< 1 year,0.0,2.87,1
25000.0,,debt_consolidation,699.0,024xx,MA,< 1 year,0.0,35.54,1
3000.0,,moving,678.0,611xx,IL,< 1 year,0.0,1.25,1
30000.0,,credit_card,683.0,721xx,AR,< 1 year,0.0,20.64,1
10000.0,,major_purchase,646.0,338xx,FL,< 1 year,0.0,45.69,1
30000.0,,major_purchase,701.0,483xx,MI,< 1 year,0.0,2.67,1
20000.0,,credit_card,703.0,782xx,TX,< 1 year,0.0,27.75,1
1500.0,,car,610.0,986xx,WA,2 years,0.0,0.0,1
20000.0,,credit_card,656.0,782xx,TX,< 1 year,0.0,31.17,1
30000.0,,debt_consolidation,678.0,140xx,NY,7 years,0.0,24.32,1
8000.0,,other,0.0,112xx,NY,< 1 year,0.0,0.0,1
24000.0,,Chase and citi,709.0,331xx,FL,1 year,0.0,23.81,1
7500.0,,debt_consolidation,669.0,020xx,MA,< 1 year,0.0,17.97,1
10000.0,,debt_consolidation,655.0,085xx,NJ,1 year,0.0,3.75,1
7000.0,,debt_consolidation,575.0,631xx,MO,< 1 year,0.0,3.81,1
30000.0,,credit_card,685.0,921xx,CA,< 1 year,0.0,38.03,1
7500.0,,debt_consolidation,654.0,933xx,CA,< 1 year,0.0,12.39,1
6000.0,,other,638.0,972xx,OR,< 1 year,0.0,27.3,1
2000.0,,other,566.0,488xx,MI,< 1 year,0.0,22.02,1
5000.0,,medical,550.0,852xx,AZ,< 1 year,0.0,29.22,1
15000.0,,wedding,0.0,672xx,KS,< 1 year,0.0,200.0,1
34000.0,,car,668.0,248xx,WV,3 years,0.0,17.13,1
12000.0,,debt_consolidation,559.0,853xx,AZ,< 1 year,0.0,40.15,1
15000.0,,VACATION,786.0,086xx,NJ,10+ years,0.0,0.83,1
7500.0,,other,674.0,759xx,TX,< 1 year,0.0,11.49,1
25000.0,,debt_consolidation,693.0,233xx,VA,< 1 year,0.0,30.0,1
1000.0,,other,0.0,230xx,VA,< 1 year,0.0,0.0,1
27000.0,,car,0.0,221xx,VA,7 years,0.0,0.0,1
17000.0,,wedding,609.0,785xx,TX,< 1 year,0.0,23.63,1
14000.0,,car,626.0,085xx,NJ,< 1 year,0.0,0.0,1
4000.0,,other,659.0,018xx,MA,< 1 year,0.0,4.71,1
5000.0,,debt_consolidation,0.0,347xx,FL,< 1 year,0.0,0.0,1
1000.0,,debt_consolidation,611.0,606xx,IL,< 1 year,0.0,7.56,1
8000.0,,debt_consolidation,456.0,780xx,TX,< 1 year,0.0,14.83,1
5000.0,,debt_consolidation,622.0,423xx,OH,< 1 year,0.0,7.62,1
35000.0,,other,565.0,553xx,MN,< 1 year,0.0,26.0,1
5000.0,,credit_card,585.0,922xx,CA,< 1 year,0.0,3.23,1
3000.0,,home_improvement,529.0,852xx,AZ,< 1 year,0.0,32.3,1
19000.0,,debt_consolidation,647.0,216xx,MD,10+ years,0.0,14.27,1
7000.0,,Debt Consolidation,704.0,774xx,TX,2 years,0.0,4.52,1
10000.0,,other,512.0,937xx,CA,< 1 year,0.0,16.58,1
20000.0,,house,687.0,245xx,VA,< 1 year,0.0,32.22,1
6000.0,,personal loan,696.0,596xx,MT,7 years,0.0,12.67,1
35000.0,,debt_consolidation,630.0,480xx,MI,< 1 year,0.0,19.1,1
1500.0,,car,0.0,068xx,CT,< 1 year,0.0,0.0,1
8900.0,,debt_consolidation,761.0,240xx,VA,< 1 year,0.0,16.92,1
1000.0,,renewable_energy,512.0,425xx,KY,< 1 year,0.0,40.44,1
30000.0,,small_business,649.0,115xx,NY,< 1 year,0.0,1.72,1
10000.0,,other,561.0,398xx,GA,< 1 year,0.0,14.26,1
10000.0,,debt_consolidation,727.0,951xx,CA,< 1 year,0.0,20.69,1
7000.0,,debt_consolidation,646.0,141xx,NY,< 1 year,0.0,32.86,1
5000.0,,debt_consolidation,559.0,065xx,CT,< 1 year,0.0,12.71,1
20000.0,,car,645.0,786xx,TX,7 years,0.0,8.27,1
20000.0,,debt_consolidation,704.0,165xx,PA,< 1 year,0.0,46.71,1
15000.0,,debt_consolidation,701.0,300xx,GA,2 years,0.0,39.19,1
10000.0,,debt_consolidation,700.0,327xx,FL,< 1 year,0.0,27.77,1
20000.0,,small_business,575.0,275xx,NC,< 1 year,0.0,17.25,1
20000.0,,debt_consolidation,680.0,596xx,MT,< 1 year,0.0,26.45,1
17000.0,,debt_consolidation,697.0,853xx,AZ,< 1 year,0.0,37.46,1
35000.0,,home_improvement,658.0,441xx,OH,< 1 year,0.0,13.94,1
35000.0,,debt_consolidation,696.0,553xx,MN,< 1 year,0.0,35.85,1
8000.0,,debt_consolidation,570.0,282xx,NC,< 1 year,0.0,13.95,1
17000.0,,debt_consolidation,595.0,763xx,TX,< 1 year,0.0,19.78,1
15000.0,,debt_consolidation,663.0,750xx,TX,< 1 year,0.0,27.28,1
1000.0,,other,0.0,945xx,CA,< 1 year,0.0,3.13,1
17000.0,,other,494.0,323xx,FL,2 years,0.0,19.43,1
35000.0,,credit_card,677.0,958xx,CA,< 1 year,0.0,49.98,1
14000.0,,debt_consolidation,667.0,027xx,MA,< 1 year,0.0,21.74,1
2000.0,,vacation,0.0,334xx,FL,< 1 year,0.0,0.0,1
2500.0,,debt_consolidation,474.0,773xx,TX,< 1 year,0.0,29.9,1
25300.0,,debt_consolidation,719.0,756xx,TX,< 1 year,0.0,48.68,1
35000.0,,small_business,685.0,117xx,NY,< 1 year,0.0,41.0,1
25000.0,,debt_consolidation,634.0,334xx,FL,< 1 year,0.0,21.23,1
18000.0,,toyotaloan,673.0,943xx,CA,,0.0,19.98,1
35000.0,,house,605.0,070xx,NJ,< 1 year,0.0,30.67,1
10000.0,,credit_card,684.0,334xx,FL,< 1 year,0.0,25.64,1
5000.0,,house,665.0,347xx,FL,< 1 year,0.0,22.2,1
10000.0,,debt_consolidation,636.0,104xx,NY,< 1 year,0.0,14.89,1
5000.0,,debt_consolidation,0.0,786xx,TX,< 1 year,0.0,0.0,1
8000.0,,car,730.0,240xx,VA,< 1 year,0.0,17.81,1
30000.0,,debt_consolidation,659.0,900xx,CA,6 years,0.0,4.07,1
19000.0,,debt_consolidation,691.0,946xx,CA,< 1 year,0.0,34.77,1
35000.0,,other,626.0,775xx,TX,< 1 year,0.0,18.24,1
8500.0,,major_purchase,680.0,207xx,MD,3 years,0.0,1.5,1
25000.0,,credit_card,676.0,933xx,CA,< 1 year,0.0,38.26,1
5000.0,,small_business,544.0,079xx,NJ,< 1 year,0.0,1.03,1
35000.0,,other,697.0,553xx,MN,< 1 year,0.0,13.57,1
20000.0,,debt_consolidation,674.0,283xx,NC,< 1 year,0.0,65.25,1
25000.0,,credit_card,703.0,350xx,AL,< 1 year,0.0,29.42,1
35000.0,,debt_consolidation,0.0,945xx,CA,< 1 year,0.0,0.0,1
4000.0,,home_improvement,633.0,112xx,NY,< 1 year,0.0,7.39,1
35000.0,,Small Business Loan.,750.0,275xx,NC,5 years,0.0,2.93,1
7000.0,,major_purchase,626.0,953xx,CA,2 years,0.0,88.56,1
6000.0,,debt_consolidation,627.0,160xx,PA,< 1 year,0.0,17.99,1
7500.0,,debt_consolidation,677.0,119xx,NY,< 1 year,0.0,28.72,1
5000.0,,debt_consolidation,589.0,341xx,FL,< 1 year,0.0,4.49,1
35000.0,,small_business,543.0,230xx,VA,< 1 year,0.0,11.98,1
29600.0,,car,666.0,906xx,CA,5 years,0.0,24.53,1
35000.0,,small_business,720.0,760xx,TX,< 1 year,0.0,19.25,1
25000.0,,debt_consolidation,681.0,142xx,NY,3 years,0.0,39.03,1
30000.0,,home_improvement,634.0,283xx,NC,< 1 year,0.0,0.0,1
10000.0,,debt_consolidation,458.0,223xx,VA,< 1 year,0.0,24.59,1
5000.0,,wedding,663.0,221xx,VA,< 1 year,0.0,27.18,1
12000.0,,debt_consolidation,658.0,481xx,MI,< 1 year,0.0,4.7,1
6000.0,,car,658.0,815xx,CO,< 1 year,0.0,0.0,1
5000.0,,medical,660.0,196xx,PA,< 1 year,0.0,15.66,1
5000.0,,debt_consolidation,545.0,891xx,NV,< 1 year,0.0,33.76,1
35000.0,,home_improvement,672.0,280xx,NC,< 1 year,0.0,8.4,1
20000.0,,credit card,753.0,919xx,CA,8 years,0.0,17.02,1
20000.0,,renewable_energy,553.0,112xx,NY,< 1 year,0.0,28.81,1
1500.0,,other,557.0,444xx,OH,< 1 year,0.0,0.0,1
18000.0,,debt_consolidation,669.0,328xx,FL,< 1 year,0.0,53.98,1
9000.0,,debt_consolidation,682.0,347xx,FL,5 years,0.0,8.35,1
3500.0,,vacation,647.0,170xx,PA,< 1 year,0.0,1.8,1
30000.0,,debt_consolidation,672.0,296xx,SC,8 years,0.0,20.94,1
5000.0,,other,0.0,287xx,NC,< 1 year,0.0,12.4,1
2000.0,,debt_consolidation,533.0,857xx,AZ,< 1 year,0.0,46.3,1
7000.0,,debt_consolidation,551.0,895xx,NV,< 1 year,0.0,18.64,1
3000.0,,small_business,625.0,922xx,CA,< 1 year,0.0,18.05,1
1000.0,,debt_consolidation,566.0,284xx,NC,< 1 year,0.0,28.66,1
17000.0,,major_purchase,705.0,750xx,TX,< 1 year,0.0,26.54,1
20000.0,,credit_card,678.0,984xx,WA,< 1 year,0.0,25.33,1
10000.0,,To finish school,695.0,200xx,DC,2 years,0.0,21.51,1
3000.0,,moving,648.0,025xx,MA,< 1 year,0.0,25.39,1
1000.0,,debt_consolidation,630.0,293xx,SC,< 1 year,0.0,78.35,1
2500.0,,debt_consolidation,634.0,917xx,CA,< 1 year,0.0,0.0,1
8000.0,,major_purchase,672.0,242xx,VA,< 1 year,0.0,21.54,1
2500.0,,medical,570.0,492xx,MI,< 1 year,0.0,18.06,1
28000.0,,debt_consolidation,675.0,704xx,LA,< 1 year,0.0,49.93,1
20000.0,,debt_consolidation,631.0,982xx,WA,< 1 year,0.0,53.04,1
5000.0,,small_business,589.0,850xx,AZ,< 1 year,0.0,17.2,1
13000.0,,debt_consolidation,681.0,072xx,NJ,< 1 year,0.0,38.72,1
30000.0,,debt_consolidation,678.0,019xx,MA,< 1 year,0.0,25.67,1
7500.0,,debt_consolidation,606.0,998xx,AK,< 1 year,0.0,4.51,1
