loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,deferral_term,disbursement_method,bad_loan,fico_score,had_hardship,debt_settlement,had_delinquency
4850.0,4850.0,4850.0,36.0,11.99,161.07,C,C1,5.0,MORTGAGE,39000.0,Verified,2015-12-01,Fully Paid,n,debt_consolidation,GA,18.37,0.0,2003-01-01,670.0,674.0,2.0,49.0,,6.0,0.0,12255.0,46.0,15.0,w,2018-12-01,0.0,38.0,1.0,Individual,,,,0.0,0.0,255972.0,1.0,1.0,0.0,0.0,100.0,58987.0,115.0,1.0,1.0,11455.0,46.0,26600.0,0.0,0.0,2.0,2.0,42662.0,16100.0,71.0,0.0,0.0,155.0,113.0,6.0,6.0,3.0,91.0,49.0,0.0,49.0,0.0,1.0,4.0,0.0,2.0,3.0,4.0,9.0,2.0,6.0,,0.0,0.0,2.0,80.0,0.0,0,0.0,265743.0,71242.0,16100.0,51291.0,,,,,,,,,,,,,,,Cash,0,672.0,0,0,1
11000.0,11000.0,11000.0,36.0,6.49,337.09,A,A2,10.0,MORTGAGE,75000.0,Not Verified,2015-12-01,Fully Paid,n,credit_card,TX,26.32,0.0,2004-01-01,785.0,789.0,0.0,,,9.0,0.0,6146.0,21.5,19.0,w,2019-03-01,0.0,,1.0,Individual,,,,0.0,0.0,149089.0,0.0,3.0,0.0,3.0,15.0,64564.0,42.0,0.0,0.0,4636.0,27.0,28600.0,0.0,2.0,0.0,3.0,16565.0,8864.0,34.3,0.0,0.0,135.0,143.0,67.0,15.0,2.0,131.0,,17.0,,0.0,1.0,4.0,2.0,4.0,10.0,5.0,7.0,4.0,9.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0.0,203534.0,70710.0,13500.0,82934.0,,,,,,,,,,,,,,,Cash,0,787.0,0,0,0
20000.0,20000.0,20000.0,60.0,13.99,465.27,C,C4,10.0,OWN,120000.0,Source Verified,2015-12-01,Current,n,debt_consolidation,NY,11.36,2.0,1999-11-01,665.0,669.0,0.0,10.0,37.0,10.0,2.0,5716.0,62.1,20.0,w,2019-03-01,0.0,45.0,1.0,Individual,,,,0.0,22856.0,55448.0,2.0,2.0,1.0,1.0,7.0,49732.0,87.0,3.0,4.0,4193.0,84.0,9200.0,2.0,0.0,8.0,5.0,6161.0,957.0,82.6,0.0,0.0,152.0,193.0,4.0,4.0,0.0,4.0,34.0,7.0,16.0,1.0,2.0,3.0,2.0,4.0,8.0,8.0,12.0,4.0,10.0,0.0,0.0,0.0,4.0,65.0,50.0,0,1.0,66205.0,55448.0,5500.0,57005.0,,,,,,,,,,,,,,,Cash,0,667.0,0,0,1
17000.0,17000.0,17000.0,36.0,8.49,536.57,B,B1,1.0,MORTGAGE,85000.0,Not Verified,2015-12-01,Fully Paid,n,debt_consolidation,GA,24.45,1.0,1984-09-01,695.0,699.0,0.0,18.0,51.0,16.0,1.0,11823.0,48.3,30.0,w,2018-12-01,0.0,41.0,1.0,Individual,,,,0.0,0.0,145984.0,3.0,3.0,0.0,4.0,17.0,30942.0,67.0,3.0,6.0,1539.0,61.0,24500.0,0.0,0.0,1.0,10.0,9732.0,361.0,81.0,0.0,0.0,127.0,375.0,0.0,0.0,1.0,23.0,18.0,12.0,18.0,1.0,1.0,9.0,1.0,9.0,6.0,12.0,23.0,9.0,16.0,0.0,0.0,0.0,3.0,93.3,100.0,0,1.0,184083.0,42765.0,1900.0,46088.0,,,,,,,,,,,,,,,Cash,0,697.0,0,0,1
20000.0,20000.0,20000.0,60.0,13.99,465.27,C,C4,10.0,MORTGAGE,130000.0,Source Verified,2015-12-01,Fully Paid,n,debt_consolidation,MA,14.86,0.0,1996-05-01,710.0,714.0,0.0,,,15.0,0.0,10659.0,54.1,28.0,w,2019-03-01,0.0,,1.0,Individual,,,,0.0,0.0,336335.0,0.0,5.0,0.0,2.0,17.0,57628.0,64.0,1.0,1.0,3714.0,62.0,19700.0,2.0,0.0,2.0,4.0,24024.0,4223.0,68.2,0.0,0.0,161.0,235.0,7.0,7.0,3.0,52.0,,7.0,,0.0,5.0,7.0,6.0,7.0,13.0,9.0,12.0,7.0,15.0,0.0,0.0,0.0,2.0,100.0,50.0,0,0.0,380261.0,68287.0,13300.0,89811.0,,,,,,,,,,,,,,,Cash,0,712.0,0,0,0
28000.0,28000.0,28000.0,36.0,6.99,864.44,A,A3,10.0,MORTGAGE,100000.0,Source Verified,2015-12-01,Fully Paid,n,credit_card,NY,21.49,1.0,1990-05-01,700.0,704.0,0.0,21.0,,15.0,0.0,10310.0,30.2,34.0,w,2018-08-01,0.0,46.0,1.0,Individual,,,,0.0,1496.0,345720.0,0.0,4.0,0.0,0.0,28.0,71550.0,84.0,0.0,1.0,7328.0,68.0,34100.0,0.0,2.0,0.0,1.0,23048.0,11472.0,39.0,0.0,0.0,158.0,257.0,24.0,24.0,2.0,24.0,48.0,19.0,21.0,0.0,1.0,2.0,4.0,7.0,7.0,9.0,24.0,2.0,15.0,0.0,0.0,0.0,0.0,79.4,25.0,0,0.0,492832.0,101231.0,18800.0,85545.0,,,,,,,,,,,,,,,Cash,0,702.0,0,0,1
20000.0,20000.0,20000.0,36.0,7.49,622.04,A,A4,7.0,MORTGAGE,58000.0,Not Verified,2015-12-01,Fully Paid,n,debt_consolidation,CA,13.49,0.0,1999-11-01,770.0,774.0,0.0,,,10.0,0.0,9756.0,31.5,19.0,w,2018-12-01,1.0,,1.0,Individual,,,,0.0,88.0,196967.0,0.0,1.0,0.0,0.0,27.0,13856.0,67.0,0.0,0.0,6716.0,46.0,31000.0,0.0,0.0,3.0,0.0,21885.0,20244.0,26.1,0.0,0.0,27.0,193.0,29.0,27.0,2.0,29.0,,0.0,,0.0,2.0,4.0,5.0,7.0,1.0,8.0,16.0,5.0,10.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0.0,238968.0,23612.0,27400.0,20836.0,,,,,,,,,,,,,,,Cash,0,772.0,0,0,0
24800.0,24800.0,24800.0,60.0,15.77,600.07,D,D1,1.0,OWN,70000.0,Verified,2015-12-01,Charged Off,n,credit_card,AZ,37.29,0.0,1998-10-01,720.0,724.0,0.0,,,8.0,0.0,16374.0,58.5,24.0,w,2018-03-01,0.0,,1.0,Individual,,,,0.0,0.0,101157.0,1.0,5.0,3.0,4.0,2.0,84783.0,83.0,0.0,0.0,7299.0,75.0,28000.0,4.0,9.0,6.0,4.0,12645.0,11626.0,58.5,0.0,0.0,206.0,179.0,67.0,2.0,1.0,70.0,,2.0,,0.0,3.0,3.0,3.0,3.0,19.0,3.0,4.0,3.0,8.0,0.0,0.0,0.0,3.0,100.0,33.3,0,0.0,125537.0,101157.0,28000.0,97537.0,,,,,,,,,,,,,,,Cash,1,722.0,0,0,0
18000.0,18000.0,18000.0,36.0,6.49,551.61,A,A2,5.0,MORTGAGE,95000.0,Not Verified,2015-12-01,Fully Paid,n,debt_consolidation,CA,12.2,0.0,2005-04-01,685.0,689.0,0.0,,,10.0,0.0,9775.0,67.4,53.0,f,2018-03-01,0.0,,1.0,Individual,,,,0.0,0.0,361457.0,1.0,3.0,2.0,2.0,2.0,45743.0,95.0,0.0,0.0,2597.0,88.0,14500.0,1.0,7.0,1.0,3.0,36146.0,2662.0,72.0,0.0,0.0,128.0,107.0,34.0,2.0,1.0,34.0,,12.0,,0.0,3.0,4.0,3.0,7.0,38.0,6.0,13.0,5.0,10.0,0.0,0.0,0.0,3.0,100.0,33.3,0,0.0,372773.0,55518.0,9500.0,48273.0,,,,,,,,,,,,,,,Cash,0,687.0,0,0,0
5000.0,5000.0,5000.0,36.0,9.8,160.87,B,B3,2.0,MORTGAGE,47000.0,Source Verified,2015-12-01,Fully Paid,n,debt_consolidation,FL,16.47,0.0,2003-11-01,700.0,704.0,0.0,,,7.0,0.0,9592.0,52.7,15.0,w,2016-05-01,0.0,,1.0,Individual,,,,0.0,0.0,89189.0,2.0,1.0,1.0,1.0,9.0,19654.0,89.0,2.0,3.0,4312.0,73.0,18200.0,0.0,0.0,0.0,4.0,12741.0,6158.0,45.5,0.0,0.0,145.0,99.0,2.0,2.0,1.0,2.0,,,,0.0,2.0,3.0,4.0,7.0,6.0,5.0,8.0,3.0,7.0,0.0,0.0,0.0,3.0,100.0,25.0,0,0.0,108877.0,29246.0,11300.0,22115.0,,,,,,,,,,,,,,,Cash,0,702.0,0,0,0
12000.0,12000.0,12000.0,36.0,5.32,361.38,A,A1,9.0,MORTGAGE,134000.0,Not Verified,2015-12-01,Fully Paid,n,debt_consolidation,NY,6.65,0.0,1999-01-01,810.0,814.0,0.0,,,6.0,0.0,40178.0,13.5,14.0,w,2017-11-01,0.0,,1.0,Individual,,,,0.0,0.0,417028.0,0.0,1.0,0.0,1.0,24.0,17402.0,63.0,1.0,1.0,5125.0,30.0,104900.0,0.0,0.0,0.0,2.0,69505.0,47492.0,13.5,0.0,0.0,24.0,194.0,10.0,10.0,2.0,10.0,,,,0.0,3.0,4.0,3.0,6.0,1.0,4.0,10.0,4.0,6.0,0.0,0.0,0.0,1.0,100.0,0.0,0,0.0,549449.0,57580.0,54900.0,27549.0,,,,,,,,,,,,,,,Cash,0,812.0,0,0,0
21000.0,21000.0,21000.0,36.0,8.49,662.83,B,B1,10.0,MORTGAGE,92000.0,Not Verified,2015-12-01,Fully Paid,n,debt_consolidation,HI,19.89,0.0,1993-01-01,765.0,769.0,2.0,,,12.0,0.0,37240.0,37.0,21.0,w,2015-12-01,0.0,,1.0,Individual,,,,0.0,0.0,228737.0,1.0,1.0,0.0,0.0,35.0,69199.0,,1.0,1.0,15236.0,37.0,190600.0,0.0,0.0,2.0,1.0,19061.0,61550.0,37.1,0.0,0.0,117.0,275.0,1.0,1.0,2.0,1.0,,0.0,,0.0,5.0,6.0,7.0,12.0,2.0,10.0,17.0,6.0,12.0,0.0,0.0,0.0,1.0,100.0,14.3,0,0.0,422315.0,106439.0,97900.0,90915.0,,,,,,,,,,,,,,,Cash,0,767.0,0,0,0
20800.0,20800.0,20800.0,60.0,9.8,439.9,B,B3,2.0,MORTGAGE,81000.0,Not Verified,2015-12-01,Current,n,credit_card,TN,22.73,0.0,2004-10-01,725.0,729.0,0.0,,,10.0,0.0,26331.0,43.0,37.0,w,2019-03-01,0.0,,1.0,Individual,,,,0.0,0.0,83553.0,1.0,2.0,5.0,7.0,2.0,57222.0,91.0,0.0,0.0,6325.0,55.0,61200.0,1.0,5.0,2.0,8.0,8355.0,25710.0,26.8,0.0,0.0,134.0,118.0,25.0,2.0,2.0,46.0,,2.0,,0.0,4.0,5.0,5.0,8.0,21.0,8.0,13.0,5.0,10.0,0.0,0.0,0.0,5.0,100.0,0.0,0,0.0,120534.0,83553.0,35100.0,59334.0,,,,,,,,,,,,,,,Cash,0,727.0,0,0,0
7850.0,7850.0,7850.0,36.0,17.27,280.93,D,D3,1.0,RENT,45000.0,Source Verified,2015-12-01,Fully Paid,n,debt_consolidation,TX,28.96,0.0,2001-05-01,660.0,664.0,1.0,33.0,,10.0,0.0,3866.0,85.9,30.0,w,2018-12-01,0.0,33.0,1.0,Individual,,,,0.0,0.0,30743.0,5.0,4.0,3.0,3.0,4.0,26877.0,95.0,3.0,3.0,2173.0,94.0,4500.0,0.0,0.0,4.0,6.0,3416.0,524.0,87.2,0.0,0.0,175.0,163.0,1.0,1.0,0.0,1.0,,2.0,,1.0,4.0,5.0,5.0,7.0,18.0,6.0,12.0,5.0,10.0,0.0,0.0,0.0,6.0,96.3,100.0,0,0.0,32660.0,30743.0,4100.0,28160.0,,,,,,,,,,,,,,,Cash,0,662.0,0,0,1
35000.0,35000.0,35000.0,36.0,13.99,1196.05,C,C4,,MORTGAGE,104640.0,Verified,2015-12-01,Fully Paid,n,debt_consolidation,MN,16.51,0.0,1974-10-01,690.0,694.0,0.0,,,19.0,0.0,46693.0,93.4,30.0,w,2019-03-01,0.0,,1.0,Individual,,,,0.0,0.0,284386.0,0.0,0.0,0.0,0.0,64.0,0.0,,2.0,6.0,8511.0,93.0,50000.0,2.0,0.0,0.0,7.0,15799.0,0.0,101.0,0.0,0.0,66.0,494.0,9.0,9.0,2.0,14.0,,19.0,,0.0,8.0,16.0,8.0,14.0,2.0,18.0,25.0,17.0,19.0,0.0,0.0,0.0,2.0,100.0,100.0,0,0.0,294800.0,46693.0,26500.0,0.0,,,,,,,,,,,,,,,Cash,0,692.0,0,0,0
20000.0,20000.0,20000.0,36.0,11.99,664.2,C,C1,10.0,MORTGAGE,118000.0,Verified,2015-12-01,Fully Paid,n,credit_card,TX,25.76,0.0,1994-07-01,705.0,709.0,0.0,,,24.0,0.0,32326.0,70.4,34.0,f,2018-12-01,0.0,,1.0,Individual,,,,0.0,0.0,222977.0,0.0,2.0,1.0,1.0,8.0,42223.0,80.0,0.0,9.0,8187.0,74.0,45900.0,3.0,1.0,1.0,10.0,10135.0,6541.0,80.4,0.0,0.0,150.0,257.0,13.0,8.0,2.0,13.0,,8.0,,0.0,8.0,14.0,12.0,16.0,3.0,20.0,25.0,14.0,24.0,0.0,0.0,0.0,1.0,100.0,54.5,0,0.0,271360.0,74549.0,33300.0,69340.0,,,,,,,,,,,,,,,Cash,0,707.0,0,0,0
12000.0,12000.0,12000.0,36.0,9.8,386.09,B,B3,5.0,MORTGAGE,41000.0,Source Verified,2015-12-01,Charged Off,n,debt_consolidation,AZ,17.39,0.0,1995-03-01,675.0,679.0,0.0,,74.0,19.0,1.0,7913.0,26.5,32.0,w,2016-12-01,0.0,,1.0,Individual,,,,0.0,67.0,13316.0,2.0,1.0,1.0,2.0,9.0,5403.0,82.0,2.0,10.0,4316.0,37.0,29900.0,1.0,1.0,2.0,12.0,740.0,13613.0,33.9,0.0,0.0,46.0,249.0,0.0,0.0,0.0,0.0,,7.0,,0.0,5.0,10.0,7.0,12.0,3.0,18.0,29.0,10.0,18.0,0.0,0.0,0.0,3.0,100.0,0.0,1,0.0,36503.0,13316.0,20600.0,6603.0,,,,,,,,,,,,,,,Cash,1,677.0,0,0,0
2000.0,2000.0,2000.0,36.0,10.78,65.27,B,B4,,OWN,34000.0,Source Verified,2015-12-01,Fully Paid,n,debt_consolidation,NJ,13.94,1.0,2005-01-01,680.0,684.0,1.0,18.0,,3.0,0.0,3696.0,92.4,6.0,f,2018-12-01,0.0,,1.0,Individual,,,,0.0,0.0,4915.0,0.0,1.0,0.0,0.0,69.0,1219.0,9.0,0.0,1.0,3696.0,27.0,4000.0,0.0,0.0,1.0,1.0,2458.0,304.0,92.4,0.0,0.0,131.0,119.0,19.0,19.0,0.0,19.0,18.0,5.0,18.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,83.3,100.0,0,0.0,17951.0,4915.0,4000.0,13951.0,,,,,,,,,,,,,,,Cash,0,682.0,0,0,1
6000.0,6000.0,6000.0,36.0,5.32,180.69,A,A1,10.0,MORTGAGE,41175.0,Verified,2015-12-01,Fully Paid,n,debt_consolidation,VA,4.14,0.0,2001-11-01,750.0,754.0,0.0,,,4.0,0.0,5419.0,36.6,25.0,w,2016-08-01,0.0,,1.0,Individual,,,,0.0,0.0,182558.0,0.0,0.0,0.0,0.0,108.0,0.0,,0.0,0.0,1900.0,37.0,14800.0,0.0,0.0,0.0,2.0,60853.0,8900.0,17.6,0.0,0.0,136.0,169.0,70.0,13.0,6.0,86.0,,14.0,,0.0,1.0,2.0,1.0,6.0,4.0,3.0,15.0,2.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0.0,193800.0,5419.0,10800.0,0.0,,,,,,,,,,,,,,,Cash,0,752.0,0,0,0
