loan_amnt,term,int_rate,grade,annual_inc,dti,fico_score,open_acc,revol_util,inq_last_6mths,delinq_2yrs,pub_rec,home_ownership,addr_state,emp_length,acc_now_delinq,mort_acc,had_hardship,purpose,bad_loan
14650.0, 60 months,20.5,E,43160.0,21.44,692.0,12.0,101.6,0.0,0.0,0.0,RENT,OH,2.0,0.0,0.0,0,debt_consolidation,0
2500.0, 36 months,17.27,D,50000.0,17.6,672.0,7.0,31.1,4.0,3.0,0.0,MORTGAGE,FL,10.0,0.0,0.0,0,other,0
11000.0, 36 months,9.17,B,69000.0,21.34,682.0,9.0,84.8,1.0,0.0,0.0,MORTGAGE,OH,10.0,0.0,2.0,0,credit_card,0
23850.0, 60 months,17.27,D,68046.0,24.71,667.0,12.0,91.3,0.0,1.0,0.0,OWN,VA,10.0,0.0,4.0,0,debt_consolidation,0
15700.0, 60 months,16.59,D,48000.0,29.13,687.0,19.0,64.9,0.0,0.0,0.0,MORTGAGE,LA,6.0,0.0,1.0,0,credit_card,0
28800.0, 60 months,11.99,C,60000.0,18.01,802.0,21.0,10.5,0.0,0.0,0.0,OWN,FL,10.0,0.0,2.0,0,debt_consolidation,0
10000.0, 36 months,12.88,C,91392.0,9.44,712.0,13.0,41.7,0.0,0.0,0.0,MORTGAGE,MO,4.0,0.0,3.0,0,house,0
24000.0, 60 months,9.8,B,77900.0,10.24,742.0,9.0,10.3,1.0,0.0,0.0,OWN,TN,,0.0,2.0,0,home_improvement,0
28000.0, 60 months,18.49,D,75000.0,31.88,687.0,27.0,51.9,0.0,0.0,0.0,MORTGAGE,IN,10.0,0.0,2.0,0,debt_consolidation,0
35000.0, 60 months,11.99,C,128000.0,6.46,687.0,17.0,27.4,0.0,0.0,0.0,MORTGAGE,DC,10.0,0.0,5.0,0,home_improvement,0
7200.0, 36 months,9.17,B,50000.0,19.25,677.0,13.0,47.6,0.0,0.0,0.0,MORTGAGE,MA,10.0,0.0,3.0,0,debt_consolidation,0
10000.0, 36 months,7.91,A,40100.0,10.81,682.0,4.0,45.0,1.0,0.0,0.0,RENT,OH,2.0,0.0,0.0,0,credit_card,0
16000.0, 60 months,13.44,C,42000.0,9.6,672.0,29.0,44.8,0.0,0.0,0.0,RENT,MA,1.0,0.0,0.0,0,credit_card,1
21875.0, 36 months,11.99,C,47590.0,17.76,702.0,9.0,57.1,0.0,0.0,0.0,RENT,FL,1.0,0.0,0.0,0,credit_card,0
14025.0, 60 months,18.49,D,39000.0,18.0,677.0,12.0,74.9,1.0,0.0,0.0,MORTGAGE,WI,10.0,0.0,3.0,0,debt_consolidation,0
35000.0, 60 months,12.88,C,106000.0,17.36,732.0,8.0,72.1,0.0,0.0,0.0,MORTGAGE,AL,7.0,0.0,4.0,0,debt_consolidation,1
20000.0, 36 months,12.88,C,145000.0,12.28,697.0,12.0,80.2,0.0,0.0,0.0,MORTGAGE,RI,10.0,0.0,5.0,0,debt_consolidation,0
14000.0, 60 months,14.85,C,60000.0,24.29,692.0,11.0,73.9,0.0,0.0,0.0,MORTGAGE,AZ,2.0,0.0,0.0,0,debt_consolidation,1
16000.0, 60 months,8.49,B,62000.0,28.92,722.0,10.0,51.2,0.0,0.0,0.0,MORTGAGE,CA,5.0,0.0,3.0,0,credit_card,1
28000.0, 60 months,14.85,C,85000.0,28.52,672.0,19.0,71.8,0.0,0.0,0.0,MORTGAGE,GA,2.0,0.0,2.0,0,debt_consolidation,0
20000.0, 60 months,13.99,C,70000.0,16.9,682.0,20.0,42.0,0.0,0.0,0.0,OWN,MD,10.0,0.0,0.0,0,debt_consolidation,1
17600.0, 60 months,19.89,E,44000.0,17.56,682.0,7.0,102.4,0.0,0.0,0.0,RENT,FL,1.0,0.0,0.0,0,credit_card,0
4200.0, 36 months,13.44,C,102500.0,26.21,702.0,14.0,88.5,0.0,0.0,0.0,MORTGAGE,NY,10.0,0.0,7.0,0,debt_consolidation,0
19000.0, 60 months,14.85,C,75000.0,13.09,667.0,15.0,63.7,2.0,0.0,0.0,OWN,NY,9.0,0.0,3.0,0,credit_card,0
15850.0, 60 months,23.13,F,45000.0,34.85,757.0,18.0,21.3,1.0,0.0,0.0,OWN,OH,10.0,0.0,0.0,0,debt_consolidation,0
10000.0, 60 months,11.99,C,42500.0,31.04,707.0,10.0,40.9,1.0,0.0,0.0,RENT,IN,10.0,0.0,0.0,0,debt_consolidation,0
30000.0, 36 months,15.77,D,175000.0,18.5,727.0,9.0,50.3,1.0,0.0,0.0,MORTGAGE,OH,2.0,0.0,3.0,0,home_improvement,0
1500.0, 36 months,6.49,A,45000.0,16.11,747.0,12.0,21.2,0.0,0.0,0.0,MORTGAGE,HI,,0.0,4.0,0,vacation,0
25000.0, 36 months,5.32,A,150000.0,9.54,797.0,7.0,42.5,0.0,0.0,0.0,MORTGAGE,VT,1.0,0.0,7.0,0,credit_card,0
16250.0, 60 months,13.44,C,50000.0,34.95,692.0,15.0,94.9,0.0,0.0,0.0,MORTGAGE,NY,2.0,0.0,2.0,0,debt_consolidation,0
20200.0, 60 months,18.49,D,60000.0,34.84,722.0,10.0,40.6,0.0,0.0,1.0,RENT,CA,4.0,0.0,0.0,0,debt_consolidation,1
23975.0, 60 months,19.89,E,70000.0,33.2,687.0,10.0,94.9,1.0,0.0,0.0,RENT,VA,10.0,0.0,3.0,0,credit_card,1
15000.0, 60 months,10.78,B,65000.0,29.28,722.0,18.0,69.8,0.0,0.0,0.0,MORTGAGE,AL,10.0,0.0,1.0,0,debt_consolidation,0
10000.0, 36 months,10.78,B,41600.0,15.78,697.0,18.0,52.5,0.0,0.0,0.0,MORTGAGE,IN,3.0,0.0,2.0,0,debt_consolidation,0
15000.0, 36 months,8.49,B,110000.0,13.24,672.0,16.0,41.4,0.0,0.0,1.0,MORTGAGE,NJ,6.0,0.0,4.0,0,credit_card,0
23100.0, 60 months,20.5,E,110000.0,20.43,662.0,11.0,94.9,0.0,0.0,0.0,OWN,DE,2.0,0.0,2.0,0,car,1
27300.0, 36 months,17.27,D,65000.0,25.63,662.0,14.0,83.0,0.0,0.0,0.0,MORTGAGE,NY,10.0,0.0,2.0,0,home_improvement,1
25000.0, 60 months,11.48,B,135000.0,4.65,707.0,16.0,13.5,0.0,0.0,0.0,MORTGAGE,TX,10.0,0.0,5.0,0,credit_card,0
15000.0, 36 months,10.78,B,40000.0,10.17,672.0,7.0,75.3,0.0,0.0,0.0,RENT,TX,1.0,0.0,0.0,0,credit_card,0
10000.0, 60 months,16.59,D,30000.0,30.84,717.0,19.0,26.6,2.0,0.0,1.0,RENT,OH,1.0,0.0,0.0,0,debt_consolidation,0
18500.0, 60 months,12.88,C,70000.0,13.2,677.0,9.0,57.8,1.0,0.0,0.0,MORTGAGE,TX,10.0,0.0,2.0,0,debt_consolidation,0
5000.0, 36 months,7.91,A,32000.0,13.73,687.0,7.0,41.1,0.0,0.0,1.0,RENT,OH,6.0,0.0,0.0,0,credit_card,0
9000.0, 36 months,9.17,B,50000.0,11.98,802.0,5.0,48.5,2.0,0.0,0.0,OWN,KS,1.0,0.0,2.0,0,debt_consolidation,0
11000.0, 36 months,6.49,A,85000.0,15.0,757.0,12.0,20.1,0.0,0.0,0.0,MORTGAGE,MA,10.0,0.0,0.0,0,credit_card,0
20000.0, 36 months,6.49,A,55000.0,29.15,752.0,9.0,23.8,0.0,0.0,0.0,MORTGAGE,TN,6.0,0.0,1.0,0,debt_consolidation,0
15000.0, 36 months,5.32,A,80000.0,20.18,777.0,30.0,21.4,1.0,0.0,0.0,RENT,VA,,0.0,2.0,0,debt_consolidation,0
12000.0, 36 months,5.32,A,53750.0,15.3,702.0,8.0,17.2,0.0,1.0,0.0,MORTGAGE,AZ,4.0,0.0,2.0,0,debt_consolidation,0
8000.0, 36 months,10.78,B,45000.0,21.23,672.0,28.0,35.5,0.0,0.0,0.0,MORTGAGE,MI,1.0,0.0,2.0,0,debt_consolidation,0
12000.0, 36 months,10.78,B,40000.0,31.95,667.0,16.0,41.4,0.0,3.0,0.0,RENT,NJ,3.0,0.0,0.0,0,credit_card,0
18000.0, 36 months,7.49,A,75000.0,25.65,717.0,12.0,33.2,1.0,0.0,0.0,MORTGAGE,NH,5.0,0.0,1.0,0,debt_consolidation,0
3600.0, 36 months,11.48,B,85000.0,17.44,677.0,12.0,28.7,2.0,0.0,1.0,MORTGAGE,VA,1.0,0.0,1.0,0,debt_consolidation,0
7200.0, 36 months,17.27,D,20000.0,13.21,707.0,8.0,32.6,1.0,1.0,0.0,OWN,MA,9.0,0.0,0.0,0,debt_consolidation,1
15000.0, 60 months,13.44,C,77213.0,18.17,672.0,17.0,25.8,2.0,0.0,1.0,RENT,FL,4.0,0.0,1.0,0,credit_card,0
5000.0, 36 months,9.8,B,72000.0,6.52,712.0,11.0,56.3,0.0,0.0,1.0,OWN,NC,6.0,0.0,2.0,0,other,0
11550.0, 60 months,16.59,D,38000.0,21.07,702.0,9.0,39.7,0.0,0.0,0.0,RENT,OH,5.0,0.0,0.0,0,credit_card,1
33600.0, 36 months,10.78,B,104000.0,14.01,692.0,14.0,51.8,2.0,0.0,0.0,RENT,OH,8.0,0.0,1.0,0,debt_consolidation,0
17925.0, 60 months,17.27,D,39000.0,27.78,722.0,10.0,76.0,1.0,0.0,0.0,OWN,OH,10.0,0.0,4.0,0,debt_consolidation,0
17475.0, 36 months,13.99,C,39750.0,23.58,697.0,7.0,52.3,0.0,0.0,0.0,RENT,IL,2.0,0.0,0.0,0,debt_consolidation,1
9000.0, 36 months,8.49,B,47000.0,8.43,677.0,12.0,26.7,0.0,0.0,0.0,MORTGAGE,FL,8.0,0.0,0.0,0,debt_consolidation,0
12000.0, 60 months,9.8,B,65000.0,23.84,787.0,18.0,13.4,0.0,0.0,0.0,MORTGAGE,KS,10.0,0.0,2.0,0,debt_consolidation,0
4000.0, 36 months,9.17,B,44500.0,15.83,672.0,4.0,4.2,0.0,0.0,1.0,RENT,NE,2.0,0.0,3.0,0,debt_consolidation,0
10500.0, 36 months,15.77,D,70100.0,8.51,662.0,5.0,77.4,0.0,0.0,0.0,RENT,KS,3.0,0.0,0.0,0,credit_card,0
14000.0, 36 months,9.8,B,100000.0,15.97,687.0,7.0,36.1,0.0,0.0,0.0,MORTGAGE,OH,4.0,0.0,2.0,0,medical,0
6000.0, 36 months,7.91,A,105000.0,14.45,687.0,9.0,65.3,1.0,0.0,3.0,MORTGAGE,OH,10.0,0.0,1.0,0,car,0
16000.0, 60 months,12.88,C,90000.0,6.39,702.0,8.0,43.9,0.0,0.0,0.0,OWN,CT,10.0,0.0,5.0,0,home_improvement,0
15000.0, 36 months,9.8,B,92000.0,13.89,682.0,7.0,35.2,1.0,0.0,2.0,MORTGAGE,OR,3.0,0.0,6.0,0,debt_consolidation,0
12000.0, 36 months,9.17,B,39400.0,26.32,707.0,18.0,34.6,1.0,0.0,0.0,MORTGAGE,CA,4.0,0.0,2.0,0,debt_consolidation,0
10000.0, 36 months,11.48,B,33000.0,21.75,712.0,12.0,35.6,0.0,0.0,1.0,RENT,IN,2.0,0.0,0.0,0,debt_consolidation,0
4200.0, 36 months,13.99,C,32000.0,31.02,707.0,10.0,11.7,2.0,0.0,0.0,RENT,TN,2.0,0.0,0.0,0,other,0
35000.0, 60 months,20.5,E,120000.0,35.69,702.0,25.0,32.2,0.0,1.0,0.0,MORTGAGE,GA,8.0,0.0,3.0,0,debt_consolidation,0
5475.0, 36 months,18.99,E,108000.0,33.47,672.0,11.0,41.0,2.0,4.0,0.0,MORTGAGE,FL,10.0,0.0,2.0,0,debt_consolidation,1
16000.0, 60 months,7.91,A,60000.0,28.58,732.0,19.0,30.3,0.0,0.0,0.0,MORTGAGE,FL,2.0,0.0,0.0,0,debt_consolidation,0
6000.0, 36 months,13.44,C,38700.0,23.26,692.0,4.0,19.2,1.0,0.0,0.0,OWN,NC,3.0,0.0,0.0,0,debt_consolidation,0
24000.0, 36 months,9.17,B,75000.0,10.11,662.0,14.0,39.5,3.0,0.0,1.0,MORTGAGE,RI,10.0,0.0,3.0,0,debt_consolidation,0
10000.0, 36 months,12.88,C,60000.0,3.3,717.0,5.0,64.1,0.0,0.0,0.0,RENT,WA,1.0,0.0,2.0,0,debt_consolidation,0
6900.0, 36 months,19.89,E,80000.0,9.57,667.0,10.0,35.9,3.0,0.0,0.0,RENT,NY,10.0,0.0,0.0,0,debt_consolidation,0
22400.0, 60 months,9.8,B,48000.0,28.48,707.0,9.0,55.7,0.0,0.0,0.0,MORTGAGE,VA,10.0,0.0,2.0,0,credit_card,0
15975.0, 36 months,16.59,D,58800.0,20.45,667.0,11.0,71.8,1.0,0.0,0.0,MORTGAGE,CA,4.0,0.0,1.0,0,debt_consolidation,0
21600.0, 36 months,13.44,C,54000.0,17.64,692.0,9.0,60.8,1.0,0.0,0.0,MORTGAGE,WI,9.0,0.0,6.0,0,debt_consolidation,0
24000.0, 60 months,13.99,C,82193.0,29.92,697.0,15.0,48.2,0.0,0.0,0.0,RENT,IN,8.0,0.0,0.0,0,credit_card,0
14400.0, 60 months,19.48,E,73320.0,17.02,662.0,9.0,96.8,0.0,0.0,0.0,RENT,NY,3.0,0.0,0.0,0,debt_consolidation,1
8000.0, 36 months,13.99,C,42000.0,23.26,707.0,8.0,40.5,1.0,0.0,0.0,RENT,OR,1.0,0.0,0.0,0,other,0
7000.0, 36 months,13.99,C,83000.0,21.96,682.0,11.0,83.1,0.0,0.0,0.0,RENT,DE,2.0,0.0,0.0,0,debt_consolidation,0
20000.0, 36 months,10.78,B,55000.0,36.94,742.0,18.0,43.0,1.0,0.0,1.0,OWN,AL,1.0,0.0,0.0,0,debt_consolidation,0
25825.0, 60 months,26.06,F,68000.0,31.68,677.0,18.0,69.7,1.0,0.0,0.0,RENT,MD,6.0,0.0,0.0,0,debt_consolidation,1
24575.0, 60 months,22.45,F,92000.0,24.16,727.0,8.0,79.3,0.0,0.0,0.0,MORTGAGE,OH,10.0,0.0,3.0,0,debt_consolidation,0
3200.0, 36 months,8.49,B,30407.0,20.61,712.0,5.0,30.3,0.0,0.0,0.0,RENT,MN,10.0,0.0,0.0,0,medical,0
22875.0, 60 months,15.77,D,137000.0,32.3,702.0,22.0,45.8,0.0,0.0,0.0,MORTGAGE,CA,10.0,0.0,5.0,0,debt_consolidation,0
16000.0, 60 months,14.85,C,80000.0,19.59,702.0,14.0,83.6,0.0,0.0,0.0,MORTGAGE,TX,10.0,0.0,2.0,0,debt_consolidation,0
35000.0, 36 months,13.44,C,125000.0,24.19,712.0,15.0,51.9,0.0,0.0,0.0,MORTGAGE,MN,1.0,0.0,8.0,0,debt_consolidation,0
2400.0, 36 months,17.27,D,52000.0,28.38,672.0,16.0,41.5,1.0,1.0,1.0,MORTGAGE,IN,2.0,0.0,0.0,0,home_improvement,0
25000.0, 36 months,7.49,A,132000.0,13.83,747.0,14.0,48.0,1.0,0.0,0.0,MORTGAGE,MI,,0.0,3.0,0,debt_consolidation,0
8800.0, 36 months,12.88,C,55000.0,35.52,717.0,20.0,37.5,2.0,0.0,0.0,RENT,MA,2.0,0.0,0.0,0,credit_card,0
2500.0, 36 months,11.48,B,16488.0,38.06,772.0,12.0,8.2,1.0,0.0,0.0,RENT,CT,,0.0,0.0,0,debt_consolidation,0
8000.0, 36 months,5.32,A,50000.0,14.86,717.0,21.0,35.1,0.0,1.0,0.0,RENT,MI,1.0,0.0,0.0,0,credit_card,0
20000.0, 36 months,11.99,C,78000.0,27.1,707.0,15.0,48.2,0.0,0.0,0.0,MORTGAGE,AL,10.0,0.0,6.0,0,debt_consolidation,1
35000.0, 60 months,12.88,C,110000.0,13.39,697.0,19.0,47.2,0.0,0.0,0.0,MORTGAGE,MD,10.0,0.0,2.0,0,major_purchase,1
15000.0, 36 months,7.49,A,45000.0,10.67,712.0,10.0,43.5,0.0,3.0,0.0,MORTGAGE,CA,,0.0,2.0,0,debt_consolidation,0
16000.0, 36 months,15.77,D,70000.0,8.78,707.0,7.0,76.1,1.0,0.0,0.0,MORTGAGE,NJ,1.0,0.0,1.0,0,debt_consolidation,1
10800.0, 60 months,13.99,C,40000.0,26.13,667.0,7.0,71.2,0.0,0.0,2.0,RENT,FL,3.0,0.0,0.0,0,debt_consolidation,0
7500.0, 36 months,17.97,D,15000.0,37.2,687.0,8.0,66.7,0.0,0.0,1.0,OWN,FL,10.0,0.0,0.0,0,debt_consolidation,0
16000.0, 36 months,10.78,B,63000.0,35.19,672.0,12.0,46.0,1.0,0.0,0.0,RENT,NY,5.0,0.0,0.0,0,debt_consolidation,1
9000.0, 36 months,5.32,A,49000.0,21.63,757.0,18.0,11.7,0.0,0.0,0.0,MORTGAGE,CA,10.0,0.0,0.0,0,credit_card,0
9500.0, 36 months,15.77,D,28000.0,27.95,697.0,7.0,55.9,0.0,0.0,0.0,RENT,MI,10.0,0.0,0.0,0,other,0
10000.0, 36 months,7.91,A,25000.0,29.91,742.0,16.0,22.9,0.0,0.0,0.0,OWN,CA,2.0,0.0,0.0,0,debt_consolidation,1
6000.0, 36 months,7.91,A,49000.0,17.92,797.0,10.0,4.4,0.0,0.0,0.0,MORTGAGE,CO,10.0,0.0,1.0,0,debt_consolidation,0
15600.0, 60 months,13.44,C,52000.0,15.37,722.0,6.0,69.3,1.0,0.0,0.0,MORTGAGE,NY,10.0,0.0,3.0,0,major_purchase,0
35000.0, 36 months,8.49,B,90000.0,13.36,752.0,11.0,42.9,0.0,0.0,0.0,OWN,CA,1.0,0.0,3.0,0,debt_consolidation,0
5000.0, 36 months,11.48,B,78000.0,21.21,702.0,19.0,54.3,1.0,0.0,0.0,MORTGAGE,TX,9.0,0.0,1.0,0,debt_consolidation,0
20400.0, 60 months,18.49,D,75000.0,38.65,727.0,22.0,42.6,0.0,2.0,0.0,MORTGAGE,AR,2.0,0.0,3.0,0,credit_card,0
8000.0, 36 months,17.97,D,33130.0,11.52,667.0,18.0,27.4,1.0,1.0,0.0,MORTGAGE,LA,,0.0,1.0,0,debt_consolidation,1
16000.0, 36 months,10.78,B,87500.0,13.74,697.0,13.0,83.9,0.0,0.0,0.0,RENT,IL,3.0,0.0,0.0,0,debt_consolidation,0
18000.0, 36 months,7.91,A,80000.0,15.56,742.0,5.0,82.6,0.0,0.0,0.0,MORTGAGE,PA,10.0,0.0,1.0,0,debt_consolidation,1
35000.0, 36 months,9.17,B,105000.0,25.07,692.0,11.0,85.0,0.0,0.0,0.0,RENT,FL,1.0,0.0,1.0,0,debt_consolidation,0
13150.0, 36 months,5.32,A,40000.0,20.25,767.0,13.0,20.1,0.0,0.0,0.0,RENT,TX,1.0,0.0,0.0,0,major_purchase,0
5600.0, 36 months,9.17,B,48000.0,19.85,662.0,8.0,64.8,0.0,0.0,0.0,RENT,TX,8.0,0.0,1.0,0,credit_card,0
23000.0, 36 months,9.8,B,90247.0,17.09,682.0,11.0,41.3,0.0,0.0,0.0,MORTGAGE,VA,9.0,0.0,2.0,0,credit_card,0
12600.0, 60 months,14.85,C,175000.0,11.75,692.0,14.0,47.5,0.0,0.0,1.0,MORTGAGE,MD,1.0,0.0,4.0,0,credit_card,0
11000.0, 36 months,16.59,D,55000.0,16.85,737.0,6.0,61.1,0.0,0.0,0.0,MORTGAGE,IL,8.0,0.0,3.0,0,debt_consolidation,0
4000.0, 36 months,11.99,C,41501.0,12.9,687.0,8.0,36.3,0.0,0.0,0.0,RENT,NY,3.0,0.0,0.0,0,debt_consolidation,0
20000.0, 60 months,13.44,C,75000.0,20.67,717.0,16.0,48.8,1.0,0.0,0.0,MORTGAGE,MT,9.0,0.0,1.0,0,debt_consolidation,0
20000.0, 36 months,11.48,B,60000.0,22.62,687.0,10.0,61.5,2.0,0.0,0.0,RENT,VA,5.0,0.0,0.0,0,debt_consolidation,0
